model,predictor,coef,se,z,p,sig,sigma,log_likelihood,r2_mz
M1_main,n_std,0.232,0.0374,6.206,0.0,***,0.5539,-543.3409,0.2517
M1_main,K_std,0.1236,0.0373,3.313,0.000924,***,0.5539,-543.3409,0.2517
M1_main,alpha_std,-0.2833,0.0226,-12.535,0.0,***,0.5539,-543.3409,0.2517
M1_main,distance,0.025,0.0444,0.565,0.572287,,0.5539,-543.3409,0.2517
M2_full,n_std,0.4084,0.061,6.698,0.0,***,0.5353,-514.9006,0.3212
M2_full,K_std,0.2107,0.0525,4.015,5.9e-05,***,0.5353,-514.9006,0.3212
M2_full,alpha_std,-0.3826,0.0318,-12.015,0.0,***,0.5353,-514.9006,0.3212
M2_full,distance,0.0397,0.0433,0.919,0.358273,,0.5353,-514.9006,0.3212
M2_full,n_std:K_std,0.0973,0.0347,2.8,0.005114,**,0.5353,-514.9006,0.3212
M2_full,n_std:alpha_std,0.0888,0.037,2.398,0.016468,*,0.5353,-514.9006,0.3212
M2_full,n_std:distance,-0.1629,0.0726,-2.244,0.024841,*,0.5353,-514.9006,0.3212
M2_full,K_std:alpha_std,0.1727,0.037,4.67,3e-06,***,0.5353,-514.9006,0.3212
M2_full,K_std:distance,-0.1132,0.0725,-1.561,0.118613,,0.5353,-514.9006,0.3212
M2_full,alpha_std:distance,0.1879,0.044,4.268,2e-05,***,0.5353,-514.9006,0.3212
M4_pars,n_std,0.3181,0.0485,6.552,0.0,***,0.543,-528.783,0.2827
M4_pars,K_std,0.1477,0.0374,3.949,7.9e-05,***,0.543,-528.783,0.2827
M4_pars,alpha_std,-0.2824,0.0222,-12.724,0.0,***,0.543,-528.783,0.2827
M4_pars,n_std:K_std,0.097,0.0351,2.762,0.00574,**,0.543,-528.783,0.2827
M4_pars,K_std:alpha_std,0.1018,0.022,4.618,4e-06,***,0.543,-528.783,0.2827
