,n,obj_d,obj_pct,cert%,our_rt_s,bpc_rt_s
A  optimal,245.0,-0.02,-0.001,0.018,316.0,32.0
A1 recover optimum,241.0,0.0,0.0,0.017,315.0,32.0
A2 miss optimum,4.0,-1.0,-0.044,0.056,401.0,34.0
B  incumbent (real),112.0,3.59,0.126,0.129,572.0,1415.0
B1 improves BKS,15.0,27.07,0.947,0.193,718.0,1930.0
B2 matches BKS,93.0,0.0,0.0,0.118,541.0,1324.0
B3 below BKS,4.0,-1.0,-0.032,0.158,745.0,1609.0
C  not reported,300.0,16.92,0.429,0.081,656.0,
"(*) ambiguous, w/ C",3.0,,,0.166,734.0,1352.0
