family,instance,stratum,arm_id,best_ub,obj,cert_gap_pct,own_ub,cert_gap_own_pct,stop_reason,phases,ec_gain,total_rt_s,seeds_used,best_seed,n_seed_restarts,tier_final,stall_run_final,commit,source_dirty,error
ED,ED_n040_001_a50_002,closing,B3,948.0000,948.0,0.000000,948.0000,0.000000,UB,1,0,1.2,"42,123,456,789,1337,2024",42,1,0,0,818869e624eab1b4a43e6b1a166801bd7b06413f,False,
ED,ED_n040_001_a50_002,closing,B2,948.0000,948.0,0.000000,948.0000,0.000000,UB,1,0,2.2,"42,123,456,789,1337,2024",42,1,0,0,818869e624eab1b4a43e6b1a166801bd7b06413f,False,
ED,ED_n040_001_a50_002,closing,B5,948.0000,948.0,0.000000,948.0000,0.000000,UB,1,0,2.4,"42,123,456,789,1337,2024",42,1,0,0,818869e624eab1b4a43e6b1a166801bd7b06413f,False,
ED,ED_n040_001_a50_002,closing,A0,948.0000,948.0,0.000000,948.0000,0.000000,UB,1,0,3.3,"42,123,456,789,1337,2024",42,1,0,0,818869e624eab1b4a43e6b1a166801bd7b06413f,False,
ED,ED_n040_001_a50_002,closing,B1,948.0000,948.0,0.000000,948.0000,0.000000,UB,1,0,3.3,"42,123,456,789,1337,2024",42,1,0,0,818869e624eab1b4a43e6b1a166801bd7b06413f,False,
ED,ED_n040_001_a50_002,closing,B6,948.0000,948.0,0.000000,948.0000,0.000000,UB,1,0,3.4,"42,123,456,789,1337,2024",42,1,0,0,818869e624eab1b4a43e6b1a166801bd7b06413f,False,
ED,ED_n040_001_a50_002,closing,B7,948.0000,948.0,0.000000,948.0000,0.000000,UB,1,0,3.4,"42,123,456,789,1337,2024",42,1,0,0,818869e624eab1b4a43e6b1a166801bd7b06413f,False,
ED,ED_n040_001_a50_002,closing,B8,948.0000,948.0,0.000000,948.0000,0.000000,UB,1,0,3.3,42,42,1,0,0,818869e624eab1b4a43e6b1a166801bd7b06413f,False,
ED,ED_n040_001_a50_002,closing,S,948.0000,948.0,0.000000,948.0000,0.000000,UB,1,0,5.1,42,42,1,0,0,818869e624eab1b4a43e6b1a166801bd7b06413f,False,
EB,EB_n100_004_a25_010,closing,B3,2417.0000,2417.0,0.000000,2417.0000,0.000000,UB,1,0,5.3,"42,123,456,789,1337,2024",42,1,0,0,818869e624eab1b4a43e6b1a166801bd7b06413f,False,
ED,ED_n040_001_a50_002,closing,B4,948.0000,948.0,0.000000,948.0000,0.000000,UB,1,0,13.4,"42,123,456,789,1337,2024",42,1,0,0,818869e624eab1b4a43e6b1a166801bd7b06413f,False,
EB,EB_n100_004_a25_010,closing,B1,2417.0000,2417.0,0.000000,2417.0000,0.000000,UB,1,0,42.3,"42,123,456,789,1337,2024",42,1,0,0,818869e624eab1b4a43e6b1a166801bd7b06413f,False,
EB,EB_n100_004_a25_010,closing,A0,2417.0000,2417.0,0.000000,2417.0000,0.000000,UB,1,0,77.1,"42,123,456,789,1337,2024",123,2,0,0,818869e624eab1b4a43e6b1a166801bd7b06413f,False,
EB,EB_n100_004_a25_010,closing,B5,2417.0000,2417.0,0.000000,2417.0000,0.000000,UB,1,0,78.9,"42,123,456,789,1337,2024",123,2,0,0,818869e624eab1b4a43e6b1a166801bd7b06413f,False,
EB,EB_n100_004_a25_010,closing,B6,2417.0000,2417.0,0.000000,2417.0000,0.000000,UB,1,0,79.5,"42,123,456,789,1337,2024",123,2,0,0,818869e624eab1b4a43e6b1a166801bd7b06413f,False,
C,C_n070_025_a25_073,closing,A0,1680.0000,1680.0,0.000000,1680.0000,0.000000,UB,1,0,31.1,"42,123,456,789,1337,2024",42,1,0,0,818869e624eab1b4a43e6b1a166801bd7b06413f,False,
EB,EB_n100_004_a25_010,closing,B7,2417.0000,2417.0,0.000000,2417.0000,0.000000,UB,1,0,83.9,"42,123,456,789,1337,2024",123,2,0,0,818869e624eab1b4a43e6b1a166801bd7b06413f,False,
C,C_n070_025_a25_073,closing,B1,1680.0000,1680.0,0.000000,1680.0000,0.000000,UB,1,0,22.0,"42,123,456,789,1337,2024",42,1,0,0,818869e624eab1b4a43e6b1a166801bd7b06413f,False,
EB,EB_n100_004_a25_010,closing,B2,2417.0000,2417.0,0.000000,2417.0000,0.000000,UB,1,0,144.1,"42,123,456,789,1337,2024",456,3,0,0,818869e624eab1b4a43e6b1a166801bd7b06413f,False,
C,C_n070_025_a25_073,closing,B3,1680.0000,1680.0,0.000000,1680.0000,0.000000,UB,1,0,15.4,"42,123,456,789,1337,2024",42,1,0,0,818869e624eab1b4a43e6b1a166801bd7b06413f,False,
C,C_n070_025_a25_073,closing,B5,1680.0000,1680.0,0.000000,1680.0000,0.000000,UB,1,0,29.7,"42,123,456,789,1337,2024",42,1,0,0,818869e624eab1b4a43e6b1a166801bd7b06413f,False,
EB,EB_n100_004_a25_010,closing,B8,2417.0000,2417.0,0.000000,2417.0000,0.000000,UB,1,0,128.2,42,42,2,0,0,818869e624eab1b4a43e6b1a166801bd7b06413f,False,
C,C_n070_025_a25_073,closing,B6,1680.0000,1680.0,0.000000,1680.0000,0.000000,UB,1,0,31.9,"42,123,456,789,1337,2024",42,1,0,0,818869e624eab1b4a43e6b1a166801bd7b06413f,False,
C,C_n070_025_a25_073,closing,B7,1680.0000,1680.0,0.000000,1680.0000,0.000000,UB,1,0,31.1,"42,123,456,789,1337,2024",42,1,0,0,818869e624eab1b4a43e6b1a166801bd7b06413f,False,
C,C_n070_025_a25_073,closing,B2,1680.0000,1680.0,0.000000,1680.0000,0.000000,UB,1,0,110.8,"42,123,456,789,1337,2024",123,2,0,0,818869e624eab1b4a43e6b1a166801bd7b06413f,False,
C,C_n070_025_a25_073,closing,B8,1680.0000,1680.0,0.000000,1680.0000,0.000000,UB,1,0,30.8,42,42,1,0,0,818869e624eab1b4a43e6b1a166801bd7b06413f,False,
ED,ED_n045_008_a50_023,closing,B1,1326.0000,1326.0,0.000000,1326.0000,0.000000,UB,1,0,67.9,"42,123,456,789,1337,2024",42,1,0,0,818869e624eab1b4a43e6b1a166801bd7b06413f,False,
ED,ED_n045_008_a50_023,closing,A0,1326.0000,1326.0,0.000000,1326.0000,0.000000,UB,1,0,134.7,"42,123,456,789,1337,2024",42,1,0,0,818869e624eab1b4a43e6b1a166801bd7b06413f,False,
ED,ED_n045_008_a50_023,closing,B2,1326.0000,1326.0,0.000000,1326.0000,0.000000,UB,1,0,90.5,"42,123,456,789,1337,2024",42,1,0,0,818869e624eab1b4a43e6b1a166801bd7b06413f,False,
C,C_n070_025_a25_073,closing,B4,1680.0000,1679.0,0.059524,1680.0000,0.059524,GAP<threshold,1,0,301.2,"42,123,456,789,1337,2024",42,9,0,0,818869e624eab1b4a43e6b1a166801bd7b06413f,False,
ED,ED_n045_008_a50_023,closing,B3,1326.0000,1326.0,0.000000,1326.0000,0.000000,UB,1,0,78.6,"42,123,456,789,1337,2024",42,1,0,0,818869e624eab1b4a43e6b1a166801bd7b06413f,False,
C,C_n070_025_a25_073,closing,S,1680.0000,1679.0,0.059524,1680.0000,0.059524,GAP<threshold,1,0,300.0,42,42,8,0,0,818869e624eab1b4a43e6b1a166801bd7b06413f,False,
ED,ED_n045_008_a50_023,closing,B5,1326.0000,1326.0,0.000000,1326.0000,0.000000,UB,1,0,130.5,"42,123,456,789,1337,2024",42,1,0,0,818869e624eab1b4a43e6b1a166801bd7b06413f,False,
ED,ED_n045_008_a50_023,closing,B6,1326.0000,1326.0,0.000000,1326.0000,0.000000,UB,1,0,134.2,"42,123,456,789,1337,2024",42,1,0,0,818869e624eab1b4a43e6b1a166801bd7b06413f,False,
ED,ED_n045_008_a50_023,closing,B7,1326.0000,1326.0,0.000000,1326.0000,0.000000,UB,1,0,133.2,"42,123,456,789,1337,2024",42,1,0,0,818869e624eab1b4a43e6b1a166801bd7b06413f,False,
ED,ED_n045_008_a50_023,closing,B4,1326.0000,1324.0,0.150830,1326.0000,0.150830,GAP<threshold,1,0,302.8,"42,123,456,789,1337,2024",42,5,0,0,818869e624eab1b4a43e6b1a166801bd7b06413f,False,
ED,ED_n045_008_a50_023,closing,B8,1326.0000,1326.0,0.000000,1326.0000,0.000000,UB,1,0,134.9,42,42,1,0,0,818869e624eab1b4a43e6b1a166801bd7b06413f,False,
B,B_n150_030_a25_088,closing,A0,3550.0000,3550.0,0.000000,3550.0000,0.000000,UB,1,0,201.8,"42,123,456,789,1337,2024",123,2,0,0,818869e624eab1b4a43e6b1a166801bd7b06413f,False,
ED,ED_n045_008_a50_023,closing,S,1326.0000,1324.0,0.150830,1326.0000,0.150830,GAP<threshold,1,0,300.0,42,42,5,0,0,818869e624eab1b4a43e6b1a166801bd7b06413f,False,
EB,EB_n100_004_a25_010,closing,B4,2417.0000,2107.0,12.825817,2421.0000,12.969847,STALL_STOP,3,0,904.0,"42,123,456,789,1337,2024",,53,3,3,818869e624eab1b4a43e6b1a166801bd7b06413f,False,
B,B_n150_030_a25_088,closing,B2,3550.0000,3550.0,0.000000,3550.0000,0.000000,UB,1,0,259.9,"42,123,456,789,1337,2024",123,2,0,0,818869e624eab1b4a43e6b1a166801bd7b06413f,False,
B,B_n150_030_a25_088,closing,B1,3550.0000,3550.0,0.000000,3550.0000,0.000000,UB,1,0,261.1,"42,123,456,789,1337,2024",123,2,0,0,818869e624eab1b4a43e6b1a166801bd7b06413f,False,
EB,EB_n100_004_a25_010,closing,S,2417.0000,2107.0,12.825817,2417.0000,12.825817,STALL_STOP,3,0,900.0,42,,51,0,3,818869e624eab1b4a43e6b1a166801bd7b06413f,False,
B,B_n150_030_a25_088,closing,B3,3550.0000,3550.0,0.000000,3550.0000,0.000000,UB,1,0,122.3,"42,123,456,789,1337,2024",42,1,0,0,818869e624eab1b4a43e6b1a166801bd7b06413f,False,
B,B_n150_030_a25_088,closing,B5,3550.0000,3550.0,0.000000,3550.0000,0.000000,UB,1,0,201.9,"42,123,456,789,1337,2024",123,2,0,0,818869e624eab1b4a43e6b1a166801bd7b06413f,False,
B,B_n150_030_a25_088,closing,B6,3550.0000,3550.0,0.000000,3550.0000,0.000000,UB,1,0,201.8,"42,123,456,789,1337,2024",123,2,0,0,818869e624eab1b4a43e6b1a166801bd7b06413f,False,
B,B_n150_030_a25_088,closing,B7,3550.0000,3550.0,0.000000,3550.0000,0.000000,UB,1,0,201.7,"42,123,456,789,1337,2024",123,2,0,0,818869e624eab1b4a43e6b1a166801bd7b06413f,False,
B,B_n150_030_a25_088,closing,B8,3550.0000,3550.0,0.000000,3550.0000,0.000000,UB,1,0,239.9,42,42,2,0,0,818869e624eab1b4a43e6b1a166801bd7b06413f,False,
EB,EB_n130_017_a25_049,closing,A0,2679.0000,2678.0,0.037327,2679.0000,0.037327,GAP<threshold,1,0,302.4,"42,123,456,789,1337,2024",42,3,0,0,818869e624eab1b4a43e6b1a166801bd7b06413f,False,
EB,EB_n130_017_a25_049,closing,B3,2679.0000,2678.0,0.037327,2679.0000,0.037327,GAP<threshold,1,0,301.0,"42,123,456,789,1337,2024",123,4,0,0,818869e624eab1b4a43e6b1a166801bd7b06413f,False,
EB,EB_n130_017_a25_049,closing,B5,2679.0000,2678.0,0.037327,2679.0000,0.037327,GAP<threshold,1,0,301.1,"42,123,456,789,1337,2024",42,3,0,0,818869e624eab1b4a43e6b1a166801bd7b06413f,False,
B,B_n150_030_a25_088,closing,B4,3550.0000,3179.0,10.450704,3565.0000,10.827489,STALL_STOP,4,0,1236.2,"42,123,456,789,1337,2024",123,24,3,3,818869e624eab1b4a43e6b1a166801bd7b06413f,False,
EB,EB_n130_017_a25_049,closing,B6,2679.0000,2678.0,0.037327,2679.0000,0.037327,GAP<threshold,1,0,301.3,"42,123,456,789,1337,2024",42,3,0,0,818869e624eab1b4a43e6b1a166801bd7b06413f,False,
B,B_n150_030_a25_088,closing,S,3550.0000,3179.0,10.450704,3550.0000,10.450704,STALL_STOP,4,0,1200.1,42,42,24,0,3,818869e624eab1b4a43e6b1a166801bd7b06413f,False,
EB,EB_n130_017_a25_049,closing,B7,2679.0000,2678.0,0.037327,2679.0000,0.037327,GAP<threshold,1,0,301.0,"42,123,456,789,1337,2024",42,3,0,0,818869e624eab1b4a43e6b1a166801bd7b06413f,False,
EB,EB_n130_017_a25_049,closing,B4,2679.0000,2527.0,5.673759,2691.0000,6.094389,STALL_STOP,3,0,1012.3,"42,123,456,789,1337,2024",,30,3,3,818869e624eab1b4a43e6b1a166801bd7b06413f,False,
EB,EB_n130_017_a25_049,closing,B8,2679.0000,2678.0,0.037327,2679.0000,0.037327,GAP<threshold,1,0,302.2,42,42,3,0,0,818869e624eab1b4a43e6b1a166801bd7b06413f,False,
EB,EB_n130_017_a25_049,closing,B2,2679.0000,2678.0,0.037327,2681.0000,0.111899,GAP<threshold,4,0,1277.5,"42,123,456,789,1337,2024",42,9,1,1,818869e624eab1b4a43e6b1a166801bd7b06413f,False,
EB,EB_n130_017_a25_049,closing,B1,2679.0000,2677.0,0.074655,2680.0000,0.111940,GAP<threshold,4,0,1278.4,"42,123,456,789,1337,2024",123,10,1,1,818869e624eab1b4a43e6b1a166801bd7b06413f,False,
B,B_n110_006_a50_017,closing,A0,3465.0000,3465.0,0.000000,3465.0000,0.000000,UB,1,0,29.8,"42,123,456,789,1337,2024",42,1,0,0,818869e624eab1b4a43e6b1a166801bd7b06413f,False,
B,B_n110_006_a50_017,closing,B5,3465.0000,3465.0,0.000000,3465.0000,0.000000,UB,1,0,24.7,"42,123,456,789,1337,2024",42,1,0,0,818869e624eab1b4a43e6b1a166801bd7b06413f,False,
B,B_n110_006_a50_017,closing,B1,3465.0000,3465.0,0.000000,3465.0000,0.000000,UB,1,0,77.2,"42,123,456,789,1337,2024",42,1,0,0,818869e624eab1b4a43e6b1a166801bd7b06413f,False,
B,B_n110_006_a50_017,closing,B6,3465.0000,3465.0,0.000000,3465.0000,0.000000,UB,1,0,29.5,"42,123,456,789,1337,2024",42,1,0,0,818869e624eab1b4a43e6b1a166801bd7b06413f,False,
B,B_n110_006_a50_017,closing,B3,3465.0000,3465.0,0.000000,3465.0000,0.000000,UB,1,0,75.3,"42,123,456,789,1337,2024",42,1,0,0,818869e624eab1b4a43e6b1a166801bd7b06413f,False,
B,B_n110_006_a50_017,closing,B7,3465.0000,3465.0,0.000000,3465.0000,0.000000,UB,1,0,29.4,"42,123,456,789,1337,2024",42,1,0,0,818869e624eab1b4a43e6b1a166801bd7b06413f,False,
B,B_n110_006_a50_017,closing,B8,3465.0000,3465.0,0.000000,3465.0000,0.000000,UB,1,0,29.3,42,42,1,0,0,818869e624eab1b4a43e6b1a166801bd7b06413f,False,
B,B_n110_006_a50_017,closing,B2,3465.0000,3465.0,0.000000,3465.0000,0.000000,UB,1,0,115.3,"42,123,456,789,1337,2024",42,1,0,0,818869e624eab1b4a43e6b1a166801bd7b06413f,False,
ED,ED_n075_038_a25_112,closing,B2,1685.0000,1685.0,0.000000,1685.0000,0.000000,UB,1,0,115.7,"42,123,456,789,1337,2024",42,1,0,0,818869e624eab1b4a43e6b1a166801bd7b06413f,False,
