instance,family,bks,greedy,ub_bks,s_bks,ub_greedy,s_greedy
C_n065_019_a75_057,C,2600.0,2598.0,2600.00000002,1.2,2600.1826344336437,1.2
D_n040_005_a75_015,D,1467.0,1466.0,1467.000000012844,0.5,1467.1378435280299,0.5
EB_n110_008_a75_024,EB,3808.0,3793.0,3808.0000005788793,3.9,3809.3198596357497,3.5
EC_n065_018_a75_054,EC,2146.0,2144.0,2146.000000020001,2.4,2146.255205740275,2.3
ED_n045_006_a25_016,ED,523.0,523.0,523.0,0.4,523.0,0.4
ED_n045_010_a75_030,ED,1596.0,1595.0,1596.000085230621,0.9,1596.1805954358242,0.8
B_n100_002_a75_006,B,3329.0,3328.0,3329.0000000000014,0.3,3329.000000000003,0.1
C_n060_015_a75_045,C,2190.0,2169.0,2190.0,0.2,2189.9999999999995,0.1
D_n060_022_a75_066,D,1956.0,1953.0,1956.0000000137775,3.7,1956.1557558052364,3.2
EB_n110_007_a75_021,EB,3778.0,3775.0,3778.0000000130954,2.7,3778.2461525805015,2.5
EC_n070_023_a75_069,EC,2359.0,2359.0,2359.000000002876,4.3,2359.000000002876,4.3
ED_n050_011_a25_031,ED,623.0,623.0,623.0000000000002,0.2,623.0000000000002,0.2
ED_n045_006_a75_018,ED,1244.0,1243.0,1244.0000000211407,1.2,1244.0309150701512,1.2
B_n110_010_a75_030,B,3853.0,3841.0,3853.000000030909,2.7,3854.2867738095024,2.2
C_n060_011_a75_033,C,1713.0,1712.0,1713.0000000312632,1.1,1713.1184800655344,1.1
D_n045_008_a75_024,D,1483.0,1481.0,1483.000000000001,0.0,1482.9999999999998,0.2
EB_n130_017_a75_051,EB,4644.0,4642.0,4644.0,34.2,4644.0,26.7
EC_n070_025_a75_075,EC,2599.0,2579.0,2599.0000006213,2.0,2602.946358289191,2.0
ED_n040_005_a25_013,ED,445.0,435.0,446.55650927897847,0.5,449.27749707350847,0.5
ED_n050_011_a75_033,ED,1464.0,1462.0,1464.0000000000002,0.5,1463.9999999999993,0.3
B_n110_009_a75_027,B,4696.0,4695.0,4696.002484064874,3.6,4696.202412548363,3.3
C_n055_007_a75_021,C,1623.0,1621.0,1623.0006680115093,0.6,1623.2992579278593,0.6
D_n040_001_a75_003,D,1203.0,1203.0,1202.9999999999995,0.1,1202.9999999999995,0.1
EB_n120_012_a75_036,EB,4220.0,4219.0,4220.000000007272,14.7,4220.069384324483,5.6
EC_n065_020_a75_060,EC,2487.0,2467.0,2487.0004317685757,1.7,2488.669717812315,1.4
ED_n065_027_a25_079,ED,874.0,855.0,876.3008795784496,2.5,879.8748948598883,2.2
ED_n045_008_a75_024,ED,1472.0,1471.0,1472.000000000001,0.1,1471.9999999999993,0.1
B_n140_022_a75_066,B,5178.0,5166.0,5178.0,34.0,5178.0,22.3
C_n070_022_a75_066,C,2102.0,2101.0,2101.9999999999995,0.3,2102.0,0.1
D_n050_015_a75_045,D,1635.0,1635.0,1635.0002583774508,1.1,1635.0002583774508,1.2
EB_n100_001_a75_003,EB,3115.0,3112.0,3115.000000038638,7.1,3115.267464275215,6.8
EC_n065_019_a75_057,EC,2599.0,2596.0,2599.0000000200007,1.3,2599.396659761842,1.2
ED_n060_023_a25_067,ED,1050.0,1030.0,1050.9999999999998,0.5,1050.9999999999995,1.5
C_n060_013_a75_039,C,2019.0,2013.0,2019.0000000000005,2.0,2019.7323990018328,1.7
