K,alpha,mean_cert,median_cert,count
2,0.25,0.3964,0.1986,60
2,0.5,0.1203,0.0659,60
2,0.75,0.0346,0.0,60
3,0.25,0.0893,0.0653,70
3,0.5,0.0989,0.0508,70
3,0.75,0.0179,0.0,70
4,0.25,0.1661,0.0973,90
4,0.5,0.2138,0.1047,90
4,0.75,0.0692,0.0,90
