instance,status,final_ub_cert,refine_ub_float,ub_decimal_strict,ub_decimal_with_tol,lag_float,lag_decimal_str,passes_strict,passes_tol,required_eps_safeguard,delta_float,delta_decimal
B_n130_020_a25_058,PASS,2680,2680,2680,2680,2680.000381,2680.000381,True,True,False,0.000381,0.000381
B_n130_020_a50_059,PASS,4306,4306,4306,4306,4306.0,4306.000000,True,True,False,0.0,0.0
B_n130_020_a75_060,PASS,4597,4597,4597,4597,4597.012657,4597.012657,True,True,False,0.012657,0.012657
B_n140_021_a25_061,PASS,3187,3187,3187,3187,3187.388898,3187.388898,True,True,False,0.388898,0.388898
B_n140_021_a50_062,PASS,4655,4655,4655,4655,4655.034066,4655.034066,True,True,False,0.034066,0.034066
B_n140_021_a75_063,PASS,4852,4852,4852,4852,4852.531029,4852.531029,True,True,False,0.531029,0.531029
B_n140_022_a25_064,PASS,3392,3392,3392,3392,3392.0,3392.000000,True,True,False,0.0,0.0
B_n140_022_a50_065,PASS,5081,5081,5081,5081,5081.019867,5081.019867,True,True,False,0.019867,0.019867
B_n140_022_a75_066,PASS,5178,5178,5178,5178,5178.0,5178.000000,True,True,False,0.0,0.0
B_n140_023_a25_067,PASS,3784,3784,3784,3784,3784.135123,3784.135123,True,True,False,0.135123,0.135123
B_n140_023_a50_068,PASS,4943,4943,4943,4943,4943.027617,4943.027617,True,True,False,0.027617,0.027617
B_n140_023_a75_069,PASS,5095,5095,5095,5095,5095.0,5095.000000,True,True,False,0.0,0.0
B_n140_024_a25_070,PASS,4309,4309,4309,4309,4309.329789,4309.329789,True,True,False,0.329789,0.329789
B_n140_024_a50_071,PASS,5578,5578,5578,5578,5578.031741,5578.031741,True,True,False,0.031741,0.031741
B_n140_024_a75_072,PASS_NEEDS_EPS,5663,5663,5662,5663,5663.0,5663.000000,False,True,True,-0.0,-0.0
B_n140_025_a25_073,PASS,3331,3331,3331,3331,3331.511604,3331.511604,True,True,False,0.511604,0.511604
B_n140_025_a50_074,PASS,4639,4639,4639,4639,4639.000008,4639.000008,True,True,False,8e-06,8e-06
B_n140_025_a75_075,PASS,4941,4941,4941,4941,4941.0,4941.000000,True,True,False,0.0,0.0
B_n150_026_a25_076,PASS,3296,3296,3296,3296,3296.687549,3296.687549,True,True,False,0.687549,0.687549
B_n150_026_a50_077,PASS,4974,4974,4974,4974,4974.037172,4974.037172,True,True,False,0.037172,0.037172
B_n150_026_a75_078,PASS,5193,5193,5193,5193,5193.539188,5193.539188,True,True,False,0.539188,0.539188
