instance,family,n,K,alpha,gap,distance,tier
C_n050_001_a25_001,C,50,3,0.25,0.433487,Line,<0.5%
C_n050_001_a50_002,C,50,3,0.5,0.04852,Line,<0.5%
C_n050_001_a75_003,C,50,3,0.75,0.103699,Line,<0.5%
C_n050_002_a25_004,C,50,3,0.25,0.153022,Line,<0.5%
C_n050_002_a50_005,C,50,3,0.5,0.023861,Line,<0.5%
C_n050_002_a75_006,C,50,3,0.75,0.0,Line,exact
C_n050_003_a25_007,C,50,3,0.25,1.86593,Line,1-2%
C_n050_003_a50_008,C,50,3,0.5,0.110011,Line,<0.5%
C_n050_003_a75_009,C,50,3,0.75,0.0,Line,exact
C_n050_004_a25_010,C,50,3,0.25,0.751159,Line,0.5-1%
C_n050_004_a50_011,C,50,3,0.5,0.079302,Line,<0.5%
C_n050_004_a75_012,C,50,3,0.75,0.0,Line,exact
C_n050_005_a25_013,C,50,3,0.25,0.498891,Line,<0.5%
C_n050_005_a50_014,C,50,3,0.5,0.005938,Line,<0.5%
C_n050_005_a75_015,C,50,3,0.75,0.0,Line,exact
C_n055_006_a25_016,C,55,3,0.25,0.0,Line,exact
C_n055_006_a50_017,C,55,3,0.5,0.0,Line,exact
C_n055_006_a75_018,C,55,3,0.75,0.031456,Line,<0.5%
C_n055_007_a25_019,C,55,3,0.25,1.615272,Line,1-2%
C_n055_007_a50_020,C,55,3,0.5,0.036536,Line,<0.5%
C_n055_007_a75_021,C,55,3,0.75,0.0,Line,exact
C_n055_008_a25_022,C,55,3,0.25,1.336478,Line,1-2%
C_n055_008_a50_023,C,55,3,0.5,0.094046,Line,<0.5%
C_n055_008_a75_024,C,55,3,0.75,0.0,Line,exact
C_n055_009_a25_025,C,55,3,0.25,0.770077,Line,0.5-1%
C_n055_009_a50_026,C,55,3,0.5,0.071858,Line,<0.5%
C_n055_009_a75_027,C,55,3,0.75,0.0,Line,exact
C_n055_010_a25_028,C,55,3,0.25,0.419815,Line,<0.5%
C_n055_010_a50_029,C,55,3,0.5,1.179171,Line,1-2%
C_n055_010_a75_030,C,55,3,0.75,0.0,Line,exact
C_n060_011_a25_031,C,60,3,0.25,0.696436,Line,0.5-1%
C_n060_011_a50_032,C,60,3,0.5,0.102059,Line,<0.5%
C_n060_011_a75_033,C,60,3,0.75,0.0,Line,exact
C_n060_012_a25_034,C,60,3,0.25,0.250941,Line,<0.5%
C_n060_012_a50_035,C,60,3,0.5,0.023103,Line,<0.5%
C_n060_012_a75_036,C,60,3,0.75,0.0,Line,exact
C_n060_013_a25_037,C,60,3,0.25,0.015454,Line,<0.5%
C_n060_013_a50_038,C,60,3,0.5,0.117575,Line,<0.5%
C_n060_013_a75_039,C,60,3,0.75,0.0,Line,exact
C_n060_014_a25_040,C,60,3,0.25,0.98121,Line,0.5-1%
C_n060_014_a50_041,C,60,3,0.5,0.47615,Line,<0.5%
