stage,run_id,output_csv,cmd
B,B08,C:\Users\user\Desktop\Sapir\Full_SRPS-ALNS\results\bpc_replica_dev\bpc_replica_B08_20260825_1026.csv,C:\Users\user\Desktop\Sapir\Full_SRPS-ALNS\.venv\Scripts\python.exe C:\Users\user\Desktop\Sapir\Full_SRPS-ALNS\dev_bpc_replica\run_bpc_replica_experiment.py --workers 4 --phase-rt 10 --abs-cap 20 --gap-threshold 0.003 --lag-max-iter 40 --lag-max-time 5 --tag B08 --sep-freq-phase 3 --max-cuts-per-round 10 --epsilon-violation 1e-05 --epsilon-reject 0.0001 --lambda-cut 0.25 --cut-age-limit 4 --sep-budget-s-per-phase 10 --bpc-cut-destroy --bpc-cut-repair --bpc-cut-hard-filter --bpc-cut-soft-penalty
B,B09,C:\Users\user\Desktop\Sapir\Full_SRPS-ALNS\results\bpc_replica_dev\bpc_replica_B09_20260825_1030.csv,C:\Users\user\Desktop\Sapir\Full_SRPS-ALNS\.venv\Scripts\python.exe C:\Users\user\Desktop\Sapir\Full_SRPS-ALNS\dev_bpc_replica\run_bpc_replica_experiment.py --workers 4 --phase-rt 10 --abs-cap 20 --gap-threshold 0.003 --lag-max-iter 40 --lag-max-time 5 --tag B09 --sep-freq-phase 3 --max-cuts-per-round 20 --epsilon-violation 1e-06 --epsilon-reject 1e-05 --lambda-cut 1.0 --cut-age-limit 8 --sep-budget-s-per-phase 10 --bpc-cut-destroy --bpc-cut-repair --bpc-cut-hard-filter --bpc-cut-soft-penalty
B,B10,C:\Users\user\Desktop\Sapir\Full_SRPS-ALNS\results\bpc_replica_dev\bpc_replica_B10_20260825_1035.csv,C:\Users\user\Desktop\Sapir\Full_SRPS-ALNS\.venv\Scripts\python.exe C:\Users\user\Desktop\Sapir\Full_SRPS-ALNS\dev_bpc_replica\run_bpc_replica_experiment.py --workers 4 --phase-rt 10 --abs-cap 20 --gap-threshold 0.003 --lag-max-iter 40 --lag-max-time 5 --tag B10 --sep-freq-phase 2 --max-cuts-per-round 10 --epsilon-violation 0.0001 --epsilon-reject 0.001 --lambda-cut 0.5 --cut-age-limit 8 --sep-budget-s-per-phase 5 --bpc-cut-destroy --bpc-cut-repair --bpc-cut-hard-filter --bpc-cut-soft-penalty
B,B11,C:\Users\user\Desktop\Sapir\Full_SRPS-ALNS\results\bpc_replica_dev\bpc_replica_B11_20260825_1040.csv,C:\Users\user\Desktop\Sapir\Full_SRPS-ALNS\.venv\Scripts\python.exe C:\Users\user\Desktop\Sapir\Full_SRPS-ALNS\dev_bpc_replica\run_bpc_replica_experiment.py --workers 4 --phase-rt 10 --abs-cap 20 --gap-threshold 0.003 --lag-max-iter 40 --lag-max-time 5 --tag B11 --sep-freq-phase 1 --max-cuts-per-round 10 --epsilon-violation 1e-06 --epsilon-reject 1e-05 --lambda-cut 1.0 --cut-age-limit 4 --sep-budget-s-per-phase 10 --bpc-cut-destroy --bpc-cut-repair --bpc-cut-hard-filter --bpc-cut-soft-penalty
B,B12,C:\Users\user\Desktop\Sapir\Full_SRPS-ALNS\results\bpc_replica_dev\bpc_replica_B12_20260825_1045.csv,C:\Users\user\Desktop\Sapir\Full_SRPS-ALNS\.venv\Scripts\python.exe C:\Users\user\Desktop\Sapir\Full_SRPS-ALNS\dev_bpc_replica\run_bpc_replica_experiment.py --workers 4 --phase-rt 10 --abs-cap 20 --gap-threshold 0.003 --lag-max-iter 40 --lag-max-time 5 --tag B12 --sep-freq-phase 3 --max-cuts-per-round 10 --epsilon-violation 1e-05 --epsilon-reject 0.0001 --lambda-cut 0.5 --cut-age-limit 4 --sep-budget-s-per-phase 10 --bpc-cut-destroy --bpc-cut-repair --bpc-cut-hard-filter --bpc-cut-soft-penalty
C,C01,C:\Users\user\Desktop\Sapir\Full_SRPS-ALNS\results\bpc_replica_dev\bpc_replica_C01_20260825_1049.csv,C:\Users\user\Desktop\Sapir\Full_SRPS-ALNS\.venv\Scripts\python.exe C:\Users\user\Desktop\Sapir\Full_SRPS-ALNS\dev_bpc_replica\run_bpc_replica_experiment.py --workers 4 --phase-rt 10 --abs-cap 20 --gap-threshold 0.003 --lag-max-iter 40 --lag-max-time 5 --tag C01 --sep-freq-phase 1 --max-cuts-per-round 10 --epsilon-violation 1e-06 --epsilon-reject 1e-05 --lambda-cut 0.25 --cut-age-limit 4 --sep-budget-s-per-phase 10 --bpc-cut-destroy --bpc-cut-repair --bpc-cut-hard-filter --bpc-cut-soft-penalty
C,C02,C:\Users\user\Desktop\Sapir\Full_SRPS-ALNS\results\bpc_replica_dev\bpc_replica_C02_20260825_1053.csv,C:\Users\user\Desktop\Sapir\Full_SRPS-ALNS\.venv\Scripts\python.exe C:\Users\user\Desktop\Sapir\Full_SRPS-ALNS\dev_bpc_replica\run_bpc_replica_experiment.py --workers 4 --phase-rt 10 --abs-cap 20 --gap-threshold 0.003 --lag-max-iter 40 --lag-max-time 5 --tag C02 --sep-freq-phase 1 --max-cuts-per-round 10 --epsilon-violation 1e-06 --epsilon-reject 0.0001 --lambda-cut 0.35 --cut-age-limit 4 --sep-budget-s-per-phase 10 --bpc-cut-destroy --bpc-cut-repair --bpc-cut-hard-filter --bpc-cut-soft-penalty
C,C03,C:\Users\user\Desktop\Sapir\Full_SRPS-ALNS\results\bpc_replica_dev\bpc_replica_C03_20260825_1057.csv,C:\Users\user\Desktop\Sapir\Full_SRPS-ALNS\.venv\Scripts\python.exe C:\Users\user\Desktop\Sapir\Full_SRPS-ALNS\dev_bpc_replica\run_bpc_replica_experiment.py --workers 4 --phase-rt 10 --abs-cap 20 --gap-threshold 0.003 --lag-max-iter 40 --lag-max-time 5 --tag C03 --sep-freq-phase 2 --max-cuts-per-round 10 --epsilon-violation 1e-06 --epsilon-reject 1e-05 --lambda-cut 0.25 --cut-age-limit 4 --sep-budget-s-per-phase 10 --bpc-cut-destroy --bpc-cut-repair --bpc-cut-hard-filter --bpc-cut-soft-penalty
C,C04,C:\Users\user\Desktop\Sapir\Full_SRPS-ALNS\results\bpc_replica_dev\bpc_replica_C04_20260825_1101.csv,C:\Users\user\Desktop\Sapir\Full_SRPS-ALNS\.venv\Scripts\python.exe C:\Users\user\Desktop\Sapir\Full_SRPS-ALNS\dev_bpc_replica\run_bpc_replica_experiment.py --workers 4 --phase-rt 10 --abs-cap 20 --gap-threshold 0.003 --lag-max-iter 40 --lag-max-time 5 --tag C04 --sep-freq-phase 2 --max-cuts-per-round 10 --epsilon-violation 1e-05 --epsilon-reject 0.0001 --lambda-cut 0.35 --cut-age-limit 6 --sep-budget-s-per-phase 10 --bpc-cut-destroy --bpc-cut-repair --bpc-cut-hard-filter --bpc-cut-soft-penalty
C,C05,C:\Users\user\Desktop\Sapir\Full_SRPS-ALNS\results\bpc_replica_dev\bpc_replica_C05_20260825_1105.csv,C:\Users\user\Desktop\Sapir\Full_SRPS-ALNS\.venv\Scripts\python.exe C:\Users\user\Desktop\Sapir\Full_SRPS-ALNS\dev_bpc_replica\run_bpc_replica_experiment.py --workers 4 --phase-rt 10 --abs-cap 20 --gap-threshold 0.003 --lag-max-iter 40 --lag-max-time 5 --tag C05 --sep-freq-phase 2 --max-cuts-per-round 20 --epsilon-violation 1e-06 --epsilon-reject 1e-05 --lambda-cut 0.35 --cut-age-limit 6 --sep-budget-s-per-phase 10 --bpc-cut-destroy --bpc-cut-repair --bpc-cut-hard-filter --bpc-cut-soft-penalty
C,C06,C:\Users\user\Desktop\Sapir\Full_SRPS-ALNS\results\bpc_replica_dev\bpc_replica_C06_20260825_1109.csv,C:\Users\user\Desktop\Sapir\Full_SRPS-ALNS\.venv\Scripts\python.exe C:\Users\user\Desktop\Sapir\Full_SRPS-ALNS\dev_bpc_replica\run_bpc_replica_experiment.py --workers 4 --phase-rt 10 --abs-cap 20 --gap-threshold 0.003 --lag-max-iter 40 --lag-max-time 5 --tag C06 --sep-freq-phase 2 --max-cuts-per-round 20 --epsilon-violation 1e-05 --epsilon-reject 0.0001 --lambda-cut 0.5 --cut-age-limit 8 --sep-budget-s-per-phase 10 --bpc-cut-destroy --bpc-cut-repair --bpc-cut-hard-filter --bpc-cut-soft-penalty
C,C07,C:\Users\user\Desktop\Sapir\Full_SRPS-ALNS\results\bpc_replica_dev\bpc_replica_C07_20260825_1114.csv,C:\Users\user\Desktop\Sapir\Full_SRPS-ALNS\.venv\Scripts\python.exe C:\Users\user\Desktop\Sapir\Full_SRPS-ALNS\dev_bpc_replica\run_bpc_replica_experiment.py --workers 4 --phase-rt 10 --abs-cap 20 --gap-threshold 0.003 --lag-max-iter 40 --lag-max-time 5 --tag C07 --sep-freq-phase 3 --max-cuts-per-round 10 --epsilon-violation 1e-06 --epsilon-reject 1e-05 --lambda-cut 0.35 --cut-age-limit 4 --sep-budget-s-per-phase 10 --bpc-cut-destroy --bpc-cut-repair --bpc-cut-hard-filter --bpc-cut-soft-penalty
C,C08,C:\Users\user\Desktop\Sapir\Full_SRPS-ALNS\results\bpc_replica_dev\bpc_replica_C08_20260825_1117.csv,C:\Users\user\Desktop\Sapir\Full_SRPS-ALNS\.venv\Scripts\python.exe C:\Users\user\Desktop\Sapir\Full_SRPS-ALNS\dev_bpc_replica\run_bpc_replica_experiment.py --workers 4 --phase-rt 10 --abs-cap 20 --gap-threshold 0.003 --lag-max-iter 40 --lag-max-time 5 --tag C08 --sep-freq-phase 3 --max-cuts-per-round 20 --epsilon-violation 1e-06 --epsilon-reject 1e-05 --lambda-cut 0.5 --cut-age-limit 8 --sep-budget-s-per-phase 10 --bpc-cut-destroy --bpc-cut-repair --bpc-cut-hard-filter --bpc-cut-soft-penalty
D,D01,C:\Users\user\Desktop\Sapir\Full_SRPS-ALNS\results\bpc_replica_dev\bpc_replica_D01_20260825_1121.csv,C:\Users\user\Desktop\Sapir\Full_SRPS-ALNS\.venv\Scripts\python.exe C:\Users\user\Desktop\Sapir\Full_SRPS-ALNS\dev_bpc_replica\run_bpc_replica_experiment.py --workers 4 --phase-rt 10 --abs-cap 20 --gap-threshold 0.003 --lag-max-iter 40 --lag-max-time 5 --tag D01 --sep-freq-phase 2 --max-cuts-per-round 10 --epsilon-violation 1e-06 --epsilon-reject 1e-05 --lambda-cut 0.25 --cut-age-limit 4 --sep-budget-s-per-phase 10 --bpc-cut-destroy --bpc-cut-repair --bpc-cut-hard-filter --bpc-cut-soft-penalty
D,D02,C:\Users\user\Desktop\Sapir\Full_SRPS-ALNS\results\bpc_replica_dev\bpc_replica_D02_20260825_1125.csv,C:\Users\user\Desktop\Sapir\Full_SRPS-ALNS\.venv\Scripts\python.exe C:\Users\user\Desktop\Sapir\Full_SRPS-ALNS\dev_bpc_replica\run_bpc_replica_experiment.py --workers 4 --phase-rt 10 --abs-cap 20 --gap-threshold 0.003 --lag-max-iter 40 --lag-max-time 5 --tag D02 --sep-freq-phase 2 --max-cuts-per-round 10 --epsilon-violation 1e-06 --epsilon-reject 1e-05 --lambda-cut 0.35 --cut-age-limit 4 --sep-budget-s-per-phase 10 --bpc-cut-destroy --bpc-cut-repair --bpc-cut-hard-filter --bpc-cut-soft-penalty
D,D03,C:\Users\user\Desktop\Sapir\Full_SRPS-ALNS\results\bpc_replica_dev\bpc_replica_D03_20260825_1129.csv,C:\Users\user\Desktop\Sapir\Full_SRPS-ALNS\.venv\Scripts\python.exe C:\Users\user\Desktop\Sapir\Full_SRPS-ALNS\dev_bpc_replica\run_bpc_replica_experiment.py --workers 4 --phase-rt 10 --abs-cap 20 --gap-threshold 0.003 --lag-max-iter 40 --lag-max-time 5 --tag D03 --sep-freq-phase 2 --max-cuts-per-round 10 --epsilon-violation 1e-06 --epsilon-reject 0.0001 --lambda-cut 0.25 --cut-age-limit 6 --sep-budget-s-per-phase 10 --bpc-cut-destroy --bpc-cut-repair --bpc-cut-hard-filter --bpc-cut-soft-penalty
D,D04,C:\Users\user\Desktop\Sapir\Full_SRPS-ALNS\results\bpc_replica_dev\bpc_replica_D04_20260825_1133.csv,C:\Users\user\Desktop\Sapir\Full_SRPS-ALNS\.venv\Scripts\python.exe C:\Users\user\Desktop\Sapir\Full_SRPS-ALNS\dev_bpc_replica\run_bpc_replica_experiment.py --workers 4 --phase-rt 10 --abs-cap 20 --gap-threshold 0.003 --lag-max-iter 40 --lag-max-time 5 --tag D04 --sep-freq-phase 2 --max-cuts-per-round 20 --epsilon-violation 1e-06 --epsilon-reject 1e-05 --lambda-cut 0.35 --cut-age-limit 6 --sep-budget-s-per-phase 10 --bpc-cut-destroy --bpc-cut-repair --bpc-cut-hard-filter --bpc-cut-soft-penalty
D,D05,C:\Users\user\Desktop\Sapir\Full_SRPS-ALNS\results\bpc_replica_dev\bpc_replica_D05_20260825_1137.csv,C:\Users\user\Desktop\Sapir\Full_SRPS-ALNS\.venv\Scripts\python.exe C:\Users\user\Desktop\Sapir\Full_SRPS-ALNS\dev_bpc_replica\run_bpc_replica_experiment.py --workers 4 --phase-rt 10 --abs-cap 20 --gap-threshold 0.003 --lag-max-iter 40 --lag-max-time 5 --tag D05 --sep-freq-phase 3 --max-cuts-per-round 10 --epsilon-violation 1e-06 --epsilon-reject 1e-05 --lambda-cut 0.35 --cut-age-limit 4 --sep-budget-s-per-phase 10 --bpc-cut-destroy --bpc-cut-repair --bpc-cut-hard-filter --bpc-cut-soft-penalty
D,D06,C:\Users\user\Desktop\Sapir\Full_SRPS-ALNS\results\bpc_replica_dev\bpc_replica_D06_20260825_1141.csv,C:\Users\user\Desktop\Sapir\Full_SRPS-ALNS\.venv\Scripts\python.exe C:\Users\user\Desktop\Sapir\Full_SRPS-ALNS\dev_bpc_replica\run_bpc_replica_experiment.py --workers 4 --phase-rt 10 --abs-cap 20 --gap-threshold 0.003 --lag-max-iter 40 --lag-max-time 5 --tag D06 --sep-freq-phase 3 --max-cuts-per-round 20 --epsilon-violation 1e-06 --epsilon-reject 1e-05 --lambda-cut 0.5 --cut-age-limit 8 --sep-budget-s-per-phase 10 --bpc-cut-destroy --bpc-cut-repair --bpc-cut-hard-filter --bpc-cut-soft-penalty
