instance,family,seed,iters,obj_adaptive,obj_frozen,delta,s_adaptive,s_frozen,d_weights_adaptive,r_weights_adaptive,d_usage_adaptive,r_usage_adaptive,d_usage_frozen,r_usage_frozen,acc_worse_adaptive,acc_worse_frozen,isolation_leak,error
EC_n080_035_a50_104,EC,123,200,2666.0,2666.0,0.0,210.75,227.53,"[4.37, 7.38, 5.6057]","[6.6378, 7.2623, 4.8933, 3.7011]","[58, 67, 75]","[51, 61, 43, 45]","[69, 55, 76]","[53, 46, 49, 52]",144,145,,
EC_n080_035_a50_104,EC,456,200,2667.0,2666.0,1.0,220.79,239.46,"[5.516, 7.7476, 6.6119]","[8.3407, 6.9371, 5.6346, 5.9047]","[54, 75, 71]","[55, 52, 48, 45]","[75, 57, 68]","[44, 57, 56, 43]",142,135,,
EC_n080_035_a50_104,EC,789,200,2666.0,2665.0,1.0,202.11,221.71,"[5.7098, 7.3218, 6.3492]","[7.4507, 7.4089, 5.3876, 5.2718]","[69, 70, 61]","[66, 51, 45, 38]","[71, 72, 57]","[52, 57, 51, 40]",140,137,,
EC_n080_035_a50_104,EC,1337,200,2666.0,2665.0,1.0,208.49,219.76,"[4.8686, 7.2542, 5.3906]","[7.1372, 7.3898, 3.9716, 5.0781]","[67, 75, 58]","[59, 55, 46, 40]","[71, 59, 70]","[50, 48, 48, 54]",131,132,,
EC_n080_035_a50_104,EC,2024,200,2665.0,2666.0,-1.0,190.85,184.19,"[4.9884, 7.5502, 5.7357]","[7.0971, 6.6363, 5.5957, 5.5468]","[54, 79, 67]","[67, 53, 42, 38]","[68, 72, 60]","[54, 49, 40, 57]",148,141,,
ED_n040_004_a50_011,ED,42,200,1154.0,1154.0,0.0,45.38,45.26,"[6.2795, 6.9058, 6.4611]","[7.1689, 7.0738, 6.232, 5.6427]","[62, 70, 68]","[48, 65, 49, 38]","[67, 65, 68]","[44, 56, 49, 51]",177,170,,
ED_n040_004_a50_011,ED,123,200,1154.0,1154.0,0.0,42.39,44.92,"[5.7791, 7.1671, 4.9422]","[7.1343, 6.2265, 5.1413, 5.4427]","[67, 72, 61]","[49, 55, 45, 51]","[66, 70, 64]","[45, 48, 52, 55]",158,158,,
ED_n040_004_a50_011,ED,456,200,1144.0,1154.0,-10.0,42.85,44.55,"[5.7176, 7.0156, 5.9656]","[6.9422, 6.6213, 5.9539, 6.0574]","[58, 83, 59]","[52, 51, 58, 39]","[68, 66, 66]","[49, 47, 55, 49]",175,179,,
ED_n040_004_a50_011,ED,789,200,1154.0,1144.0,10.0,42.95,39.96,"[5.2306, 6.895, 5.5859]","[6.9556, 6.2467, 5.2206, 5.0997]","[61, 82, 57]","[56, 49, 46, 49]","[60, 83, 57]","[49, 49, 52, 50]",165,174,,
ED_n040_004_a50_011,ED,1337,200,1154.0,1154.0,0.0,42.47,41.51,"[6.1885, 7.0476, 5.8212]","[6.9456, 6.4187, 5.4206, 6.0091]","[74, 51, 75]","[58, 60, 44, 38]","[73, 58, 69]","[52, 59, 48, 41]",169,157,,
ED_n040_004_a50_011,ED,2024,200,1154.0,1154.0,0.0,41.66,42.64,"[5.8417, 6.9727, 6.0247]","[6.996, 7.1517, 5.1696, 5.8804]","[54, 80, 66]","[55, 56, 47, 42]","[57, 72, 71]","[57, 41, 48, 54]",169,174,,
ED_n050_014_a50_041,ED,42,200,1787.0,1787.0,0.0,176.96,179.1,"[6.2523, 7.1055, 6.4043]","[7.1859, 6.1882, 5.9646, 6.3206]","[73, 60, 67]","[57, 56, 40, 47]","[61, 68, 71]","[44, 48, 44, 64]",160,152,,
ED_n050_014_a50_041,ED,123,200,1697.0,1697.0,0.0,202.23,189.86,"[6.345, 7.48, 6.2334]","[7.7097, 6.9575, 6.0496, 5.3907]","[75, 70, 55]","[53, 61, 53, 33]","[77, 72, 51]","[50, 53, 52, 45]",161,159,,
ED_n050_014_a50_041,ED,456,200,1786.0,1787.0,-1.0,158.77,167.12,"[5.116, 7.223, 6.3253]","[7.4822, 7.3615, 5.2248, 4.516]","[53, 66, 81]","[47, 65, 44, 44]","[62, 79, 59]","[53, 54, 48, 45]",154,160,,
ED_n050_014_a50_041,ED,789,200,1787.0,1787.0,0.0,177.4,181.44,"[5.1569, 6.9867, 5.8034]","[7.2693, 6.8428, 5.2222, 5.1297]","[56, 78, 66]","[48, 60, 45, 47]","[69, 70, 61]","[41, 58, 50, 51]",156,146,,
ED_n050_014_a50_041,ED,1337,200,1697.0,1787.0,-90.0,187.65,180.35,"[4.869, 7.3526, 6.2777]","[6.2001, 7.0836, 5.7645, 5.4836]","[75, 56, 69]","[57, 48, 54, 41]","[81, 67, 52]","[50, 55, 47, 48]",155,157,,
ED_n050_014_a50_041,ED,2024,200,1697.0,1697.0,0.0,174.16,188.88,"[5.5565, 6.9724, 6.5388]","[7.2007, 6.7893, 5.7579, 5.9774]","[64, 72, 64]","[52, 51, 45, 52]","[68, 58, 74]","[44, 51, 52, 53]",164,160,,
ED_n055_019_a50_056,ED,42,200,1896.0,1888.0,8.0,210.17,204.88,"[6.2723, 7.2381, 5.6661]","[7.112, 7.1674, 5.6694, 5.5285]","[63, 76, 61]","[46, 63, 48, 43]","[57, 68, 75]","[44, 57, 51, 48]",156,160,,
ED_n055_019_a50_056,ED,123,200,1897.0,1888.0,9.0,231.48,230.09,"[6.4383, 7.2529, 4.8453]","[7.4129, 7.1854, 4.8658, 5.2784]","[79, 68, 53]","[59, 60, 42, 39]","[65, 71, 64]","[53, 54, 49, 44]",160,162,,
ED_n055_019_a50_056,ED,456,200,1888.0,1897.0,-9.0,223.77,234.99,"[6.4766, 6.9637, 5.9056]","[7.1436, 7.1615, 5.9909, 5.9147]","[62, 89, 49]","[55, 56, 41, 48]","[59, 85, 56]","[48, 48, 53, 51]",162,165,,
ED_n055_019_a50_056,ED,789,200,1887.0,1888.0,-1.0,206.8,230.59,"[5.7966, 6.7989, 5.9911]","[7.4493, 7.3595, 6.4287, 3.8744]","[61, 77, 62]","[54, 60, 40, 46]","[72, 73, 55]","[64, 50, 48, 38]",156,160,,
ED_n055_019_a50_056,ED,1337,200,1807.0,1887.0,-80.0,217.62,235.79,"[6.68, 7.1258, 5.9386]","[7.3646, 7.5418, 5.0129, 5.9973]","[79, 64, 57]","[64, 50, 45, 41]","[69, 56, 75]","[42, 48, 55, 55]",153,150,,
ED_n055_019_a50_056,ED,2024,200,1807.0,1896.0,-89.0,233.52,247.12,"[5.2612, 7.3942, 6.4164]","[7.3595, 6.6657, 5.7338, 5.2587]","[61, 69, 70]","[52, 54, 46, 48]","[71, 55, 74]","[42, 60, 51, 47]",156,154,,
ED_n060_022_a50_065,ED,42,200,1736.0,1727.0,9.0,246.03,293.99,"[4.2768, 7.2429, 5.4652]","[7.534, 6.5779, 3.6405, 4.7749]","[53, 81, 66]","[67, 46, 42, 45]","[60, 71, 69]","[44, 57, 50, 49]",132,131,,
ED_n060_022_a50_065,ED,123,200,1735.0,1726.0,9.0,256.87,269.09,"[5.1057, 7.3569, 4.9761]","[7.4981, 6.5075, 3.8301, 5.049]","[69, 74, 57]","[57, 55, 40, 48]","[70, 61, 69]","[54, 42, 46, 58]",138,127,,
ED_n060_022_a50_065,ED,456,200,1736.0,1737.0,-1.0,252.64,311.62,"[3.9615, 8.1189, 6.2884]","[7.6236, 6.5902, 5.3467, 4.7798]","[57, 81, 62]","[51, 66, 42, 41]","[74, 71, 55]","[48, 53, 53, 46]",130,132,,
ED_n060_022_a50_065,ED,789,200,1726.0,1726.0,0.0,256.75,326.51,"[4.8077, 7.6018, 6.2745]","[7.5747, 7.0975, 4.981, 5.572]","[52, 87, 61]","[54, 62, 46, 38]","[57, 85, 58]","[42, 50, 53, 55]",136,139,,
ED_n060_022_a50_065,ED,1337,200,1736.0,1736.0,0.0,263.66,257.11,"[4.7525, 7.2827, 5.5416]","[7.2978, 5.4851, 4.5954, 6.1573]","[46, 83, 71]","[60, 46, 46, 48]","[62, 59, 79]","[48, 53, 54, 45]",135,129,,
ED_n060_022_a50_065,ED,2024,200,1729.0,1726.0,3.0,258.13,304.57,"[5.2983, 7.9623, 5.6857]","[7.3173, 7.1328, 4.8414, 4.7697]","[61, 66, 73]","[69, 49, 41, 41]","[67, 57, 76]","[62, 45, 46, 47]",132,124,,
ED_n060_022_a75_066,ED,42,200,1943.0,1941.0,2.0,445.18,486.94,"[6.2018, 8.4542, 6.6019]","[7.8129, 7.8362, 5.5819, 5.8825]","[60, 69, 71]","[63, 57, 44, 36]","[64, 76, 60]","[52, 49, 45, 54]",133,131,,
ED_n060_022_a75_066,ED,123,200,1943.0,1943.0,0.0,464.75,490.56,"[6.0025, 7.6417, 5.8674]","[7.114, 7.3287, 5.1483, 6.3464]","[71, 67, 62]","[63, 46, 43, 48]","[73, 61, 66]","[50, 50, 55, 45]",133,142,,
ED_n060_022_a75_066,ED,456,200,1943.0,1943.0,0.0,501.25,619.55,"[4.912, 8.212, 6.0154]","[8.8083, 6.492, 5.865, 5.5328]","[53, 92, 55]","[61, 43, 50, 46]","[60, 67, 73]","[47, 41, 65, 47]",142,139,,
ED_n060_022_a75_066,ED,789,200,1944.0,1944.0,0.0,499.9,459.09,"[6.4208, 7.6926, 6.0392]","[7.4028, 7.3284, 5.9816, 6.5105]","[66, 75, 59]","[60, 43, 54, 43]","[67, 70, 63]","[60, 46, 51, 43]",143,150,,
ED_n060_022_a75_066,ED,1337,200,1943.0,1943.0,0.0,404.04,526.46,"[4.787, 7.5102, 6.5901]","[8.0063, 6.9103, 3.9639, 5.3085]","[65, 65, 70]","[55, 61, 38, 46]","[70, 57, 73]","[49, 53, 54, 44]",141,133,,
ED_n060_022_a75_066,ED,2024,200,1944.0,1944.0,0.0,410.95,448.84,"[6.1171, 7.5356, 6.7005]","[7.7748, 7.2441, 4.7883, 6.5425]","[65, 67, 68]","[55, 64, 40, 41]","[66, 69, 65]","[55, 54, 48, 43]",144,151,,
ED_n060_024_a25_070,ED,42,200,1253.0,1253.0,0.0,53.39,51.57,"[6.4774, 7.4651, 5.3028]","[7.3977, 7.1286, 5.8582, 5.8904]","[74, 77, 49]","[47, 54, 57, 42]","[64, 67, 69]","[46, 49, 56, 49]",154,158,,
ED_n060_024_a25_070,ED,123,200,1243.0,1243.0,0.0,44.81,46.85,"[5.4596, 7.222, 4.2038]","[6.9448, 6.9754, 4.2489, 3.9987]","[68, 77, 55]","[65, 53, 35, 47]","[66, 63, 71]","[65, 44, 41, 50]",145,153,,
ED_n060_024_a25_070,ED,456,200,1243.0,1253.0,-10.0,47.75,56.2,"[6.0317, 7.1764, 4.974]","[7.1949, 6.836, 5.5721, 4.8091]","[68, 73, 59]","[54, 48, 33, 65]","[69, 75, 56]","[46, 51, 39, 64]",154,161,,
ED_n060_024_a25_070,ED,789,200,1243.0,1253.0,-10.0,52.04,61.95,"[5.6777, 7.2539, 6.5916]","[7.0877, 6.856, 6.8908, 4.6621]","[53, 74, 73]","[59, 50, 47, 44]","[67, 70, 63]","[51, 49, 46, 54]",160,152,,
ED_n060_024_a25_070,ED,1337,200,1243.0,1243.0,0.0,58.12,69.44,"[6.1525, 7.3724, 4.1248]","[6.8006, 6.9939, 4.3795, 4.94]","[72, 68, 60]","[52, 68, 46, 34]","[78, 52, 70]","[39, 58, 54, 49]",147,148,,
ED_n060_024_a25_070,ED,2024,200,1243.0,1243.0,0.0,52.32,60.43,"[5.5499, 7.097, 5.8408]","[6.7672, 6.7687, 5.2889, 5.8811]","[65, 69, 66]","[63, 47, 48, 42]","[58, 69, 73]","[59, 47, 45, 49]",159,152,,
ED_n060_025_a50_074,ED,42,200,2013.0,2013.0,0.0,455.77,570.66,"[4.6881, 7.2447, 5.4722]","[6.9268, 6.6632, 5.0878, 5.2657]","[54, 88, 58]","[39, 66, 48, 47]","[57, 77, 66]","[39, 62, 58, 41]",136,139,,
ED_n060_025_a50_074,ED,123,200,2013.0,2013.0,0.0,427.01,497.21,"[5.7256, 7.3679, 6.0571]","[7.7189, 6.7573, 4.9549, 6.1449]","[62, 81, 57]","[60, 45, 45, 50]","[63, 69, 68]","[47, 54, 56, 43]",144,142,,
ED_n060_025_a50_074,ED,456,200,2013.0,2013.0,0.0,523.17,456.38,"[6.2489, 7.8751, 6.1648]","[7.8249, 6.9628, 6.1223, 5.9554]","[66, 70, 64]","[51, 60, 47, 42]","[67, 62, 71]","[52, 54, 50, 44]",143,143,,
ED_n060_025_a50_074,ED,789,200,2013.0,2013.0,0.0,456.61,483.2,"[5.5265, 7.4459, 5.809]","[6.8222, 6.9254, 4.7777, 6.1541]","[60, 77, 63]","[51, 56, 47, 46]","[57, 75, 68]","[45, 57, 51, 47]",144,140,,
ED_n060_025_a50_074,ED,1337,200,2013.0,2013.0,0.0,469.06,508.57,"[6.1219, 7.1879, 6.3286]","[7.1815, 6.3424, 6.4642, 5.969]","[55, 86, 59]","[59, 45, 52, 44]","[51, 66, 83]","[50, 52, 54, 44]",157,146,,
ED_n060_025_a50_074,ED,2024,200,2014.0,2014.0,0.0,565.16,499.79,"[5.7302, 7.18, 6.1829]","[7.1959, 6.7074, 6.0618, 5.8445]","[60, 64, 76]","[48, 46, 58, 48]","[65, 65, 70]","[54, 52, 49, 45]",146,147,,
ED_n065_027_a50_080,ED,42,200,1736.0,1736.0,0.0,331.39,323.57,"[4.1327, 7.6773, 4.8011]","[7.0818, 6.4378, 4.9891, 4.5633]","[59, 90, 51]","[43, 56, 52, 49]","[71, 66, 63]","[40, 54, 50, 56]",124,117,,
ED_n065_027_a50_080,ED,123,200,1737.0,1726.0,11.0,301.26,332.18,"[4.8347, 7.7039, 5.7243]","[8.3648, 6.6749, 4.785, 4.95]","[42, 86, 72]","[64, 49, 44, 43]","[52, 75, 73]","[49, 43, 55, 53]",126,119,,
ED_n065_027_a50_080,ED,456,200,1725.0,1725.0,0.0,273.77,264.31,"[5.107, 7.3229, 4.6362]","[8.0294, 6.4528, 4.4123, 5.2374]","[65, 94, 41]","[57, 52, 48, 43]","[70, 68, 62]","[49, 55, 46, 50]",122,113,,
ED_n065_027_a50_080,ED,789,200,1736.0,1736.0,0.0,269.53,298.33,"[5.09, 7.7224, 5.5597]","[7.7841, 6.5578, 5.0467, 4.2206]","[56, 76, 68]","[63, 55, 37, 45]","[68, 69, 63]","[57, 50, 43, 50]",132,125,,
ED_n065_027_a50_080,ED,1337,200,1737.0,1746.0,-9.0,296.45,304.7,"[4.5419, 7.8953, 5.411]","[7.4426, 7.4265, 4.5102, 5.1093]","[61, 91, 48]","[59, 57, 49, 35]","[74, 68, 58]","[61, 48, 52, 39]",132,141,,
ED_n065_027_a50_080,ED,2024,200,1735.0,1745.0,-10.0,329.87,315.55,"[3.6683, 7.6198, 4.185]","[7.6958, 5.3248, 4.5408, 2.9535]","[62, 83, 55]","[67, 42, 53, 38]","[76, 60, 64]","[43, 62, 47, 48]",113,121,,
ED_n065_027_a75_081,ED,42,200,1963.0,1963.0,0.0,533.75,448.15,"[5.4401, 7.7624, 6.169]","[7.2958, 7.2137, 5.2983, 6.4453]","[56, 89, 55]","[52, 64, 40, 44]","[61, 75, 64]","[52, 58, 45, 45]",146,145,,
ED_n065_027_a75_081,ED,123,200,1972.0,1971.0,1.0,634.4,429.79,"[6.0871, 8.3234, 5.8987]","[8.2909, 7.0515, 7.2662, 5.0183]","[68, 76, 56]","[59, 45, 49, 47]","[65, 62, 73]","[52, 46, 52, 50]",134,141,,
ED_n065_027_a75_081,ED,456,200,1972.0,1971.0,1.0,590.7,438.06,"[5.612, 8.3388, 6.9595]","[7.2991, 7.421, 6.3577, 5.6627]","[59, 67, 74]","[67, 49, 47, 37]","[63, 67, 70]","[46, 57, 54, 43]",141,137,,
ED_n065_027_a75_081,ED,789,200,1971.0,1972.0,-1.0,697.13,341.41,"[5.3858, 7.7793, 6.5399]","[7.3133, 7.2068, 6.0392, 3.3268]","[73, 71, 56]","[63, 54, 49, 34]","[75, 55, 70]","[56, 51, 43, 50]",140,137,,
ED_n065_027_a75_081,ED,1337,200,1972.0,1972.0,0.0,739.82,290.82,"[4.4357, 7.5013, 6.4595]","[7.8297, 7.1747, 5.0694, 5.2769]","[55, 77, 68]","[58, 49, 58, 35]","[66, 56, 78]","[63, 41, 46, 50]",141,131,,
ED_n065_027_a75_081,ED,2024,200,1962.0,1964.0,-2.0,550.16,291.81,"[5.422, 7.8603, 6.1081]","[8.2427, 6.9102, 5.5122, 5.4621]","[68, 68, 64]","[62, 47, 36, 55]","[57, 64, 79]","[44, 52, 45, 59]",132,141,,
ED_n065_028_a25_082,ED,42,200,1152.0,1152.0,0.0,21.19,21.5,"[5.4771, 7.1606, 5.7426]","[7.346, 7.2754, 4.6845, 4.916]","[69, 66, 65]","[51, 64, 45, 40]","[69, 66, 65]","[53, 45, 50, 52]",155,146,,
ED_n065_028_a25_082,ED,123,200,1152.0,1151.0,1.0,23.06,22.81,"[5.9516, 7.1036, 6.0914]","[7.6452, 6.7457, 5.0588, 5.2587]","[65, 71, 64]","[70, 48, 42, 40]","[66, 66, 68]","[55, 49, 49, 47]",157,150,,
ED_n065_028_a25_082,ED,456,200,1152.0,1143.0,9.0,22.08,22.64,"[5.6992, 7.3325, 6.0211]","[7.4339, 6.9886, 5.2146, 4.8169]","[75, 68, 57]","[57, 57, 41, 45]","[63, 66, 71]","[45, 52, 43, 60]",148,157,,
ED_n065_028_a25_082,ED,789,200,1152.0,1152.0,0.0,22.9,23.62,"[6.1767, 7.0834, 5.6036]","[7.3118, 7.2361, 6.0587, 4.9775]","[76, 84, 40]","[52, 52, 48, 48]","[80, 69, 51]","[49, 47, 47, 57]",162,155,,
ED_n065_028_a25_082,ED,1337,200,1143.0,1151.0,-8.0,36.62,33.51,"[5.2581, 7.0375, 6.864]","[7.1145, 7.0678, 5.7077, 5.7324]","[63, 71, 66]","[56, 56, 40, 48]","[76, 66, 58]","[45, 53, 50, 52]",164,159,,
ED_n065_028_a25_082,ED,2024,200,1151.0,1152.0,-1.0,22.8,21.87,"[5.118, 7.3896, 5.2069]","[7.68, 6.2997, 5.403, 4.321]","[58, 87, 55]","[59, 51, 49, 41]","[64, 65, 71]","[45, 56, 55, 44]",147,137,,
ED_n065_029_a25_085,ED,42,200,1335.0,1335.0,0.0,30.48,29.83,"[6.23, 7.3065, 5.4977]","[7.3436, 7.0189, 4.9532, 5.7499]","[71, 74, 55]","[55, 55, 50, 40]","[68, 74, 58]","[51, 61, 43, 45]",166,170,,
ED_n065_029_a25_085,ED,123,200,1253.0,1253.0,0.0,25.91,24.66,"[5.6424, 7.5569, 4.3158]","[6.9846, 6.7422, 5.2319, 4.8697]","[78, 70, 52]","[57, 50, 43, 50]","[73, 61, 66]","[52, 58, 39, 51]",139,133,,
ED_n065_029_a25_085,ED,456,200,1335.0,1245.0,90.0,23.38,30.92,"[5.3286, 7.1341, 5.8893]","[7.4831, 6.92, 3.0427, 4.9324]","[62, 70, 68]","[63, 60, 32, 45]","[65, 63, 72]","[52, 51, 55, 42]",163,147,,
ED_n065_029_a25_085,ED,789,200,1335.0,1335.0,0.0,29.76,31.89,"[6.1662, 6.7828, 6.011]","[6.9456, 6.9496, 4.3938, 5.6626]","[64, 75, 61]","[59, 62, 39, 40]","[64, 80, 56]","[54, 57, 53, 36]",168,169,,
ED_n065_029_a25_085,ED,1337,200,1335.0,1335.0,0.0,26.44,28.29,"[5.6889, 6.9058, 5.9824]","[6.8529, 7.3477, 5.0418, 5.2587]","[73, 70, 57]","[58, 51, 40, 51]","[76, 65, 59]","[50, 51, 46, 53]",173,170,,
ED_n065_029_a25_085,ED,2024,200,1335.0,1335.0,0.0,29.57,35.61,"[5.1478, 7.4908, 5.85]","[6.5133, 7.3385, 5.7466, 5.9173]","[44, 78, 78]","[47, 54, 52, 47]","[57, 70, 73]","[59, 45, 55, 41]",156,166,,
ED_n065_030_a25_088,ED,42,200,1467.0,1467.0,0.0,65.67,68.81,"[6.6183, 7.0893, 5.7512]","[7.4307, 7.1353, 5.5841, 4.975]","[73, 72, 55]","[58, 61, 38, 43]","[58, 65, 77]","[60, 61, 41, 38]",159,155,,
ED_n065_030_a25_088,ED,123,200,1467.0,1467.0,0.0,77.56,70.8,"[5.8665, 6.856, 5.7307]","[7.1148, 7.7943, 5.0293, 3.892]","[72, 68, 60]","[56, 50, 57, 37]","[58, 64, 78]","[60, 45, 47, 48]",152,162,,
ED_n065_030_a25_088,ED,456,200,1467.0,1467.0,0.0,73.15,72.38,"[6.7347, 7.188, 6.2696]","[7.237, 6.944, 5.8573, 6.5493]","[55, 70, 75]","[57, 47, 44, 52]","[63, 69, 68]","[53, 41, 48, 58]",162,166,,
ED_n065_030_a25_088,ED,789,200,1478.0,1467.0,11.0,82.91,69.63,"[7.001, 7.3795, 6.3561]","[8.239, 6.7458, 7.093, 5.4584]","[61, 88, 51]","[52, 52, 55, 41]","[63, 76, 61]","[43, 48, 57, 52]",162,157,,
ED_n065_030_a25_088,ED,1337,200,1477.0,1466.0,11.0,82.03,56.99,"[7.0674, 7.016, 6.2218]","[7.7487, 7.5888, 5.888, 5.6963]","[70, 64, 66]","[51, 56, 53, 40]","[76, 58, 66]","[58, 52, 38, 52]",162,161,,
ED_n065_030_a25_088,ED,2024,200,1467.0,1478.0,-11.0,66.37,83.05,"[6.0052, 7.217, 6.7925]","[7.3318, 7.6866, 6.1036, 4.5707]","[56, 70, 74]","[62, 61, 49, 28]","[65, 64, 71]","[52, 48, 48, 52]",166,162,,
ED_n070_032_a50_095,ED,42,200,1845.0,1845.0,0.0,198.21,224.13,"[4.5191, 7.7843, 5.2069]","[7.5219, 6.6181, 5.4147, 4.0116]","[56, 86, 58]","[62, 54, 44, 40]","[68, 67, 65]","[61, 40, 45, 54]",139,114,,
ED_n070_032_a50_095,ED,123,200,1846.0,1846.0,0.0,194.06,238.32,"[4.7368, 7.4185, 5.1339]","[7.427, 7.0061, 5.4647, 4.1628]","[51, 86, 63]","[53, 53, 51, 43]","[62, 61, 77]","[51, 44, 51, 54]",125,112,,
ED_n070_032_a50_095,ED,456,200,1857.0,1856.0,1.0,181.46,250.03,"[5.344, 7.9994, 5.6465]","[8.1035, 7.5427, 4.5916, 4.1975]","[56, 76, 68]","[65, 51, 38, 46]","[67, 73, 60]","[55, 46, 52, 47]",134,134,,
ED_n070_032_a50_095,ED,789,200,1858.0,1847.0,11.0,190.11,237.79,"[5.4291, 7.9307, 5.4038]","[6.98, 7.1685, 4.8192, 5.0189]","[75, 65, 60]","[39, 78, 42, 41]","[61, 64, 75]","[45, 53, 52, 50]",124,111,,
ED_n070_032_a50_095,ED,1337,200,1849.0,1847.0,2.0,197.44,239.38,"[5.6278, 7.3948, 5.5519]","[7.6032, 6.7063, 5.592, 5.2655]","[62, 83, 55]","[61, 54, 45, 40]","[60, 64, 76]","[46, 56, 48, 50]",137,125,,
ED_n070_032_a50_095,ED,2024,200,1857.0,1864.0,-7.0,196.97,237.24,"[4.2844, 7.5084, 5.1826]","[7.69, 6.8029, 4.5567, 4.3023]","[59, 79, 62]","[62, 51, 46, 41]","[65, 66, 69]","[61, 48, 47, 44]",129,128,,
ED_n070_032_a75_096,ED,42,200,2083.0,2083.0,0.0,390.13,424.24,"[5.1146, 8.0797, 5.6698]","[7.5273, 6.9156, 5.9873, 5.4101]","[64, 82, 54]","[58, 58, 42, 42]","[65, 65, 70]","[56, 51, 54, 39]",136,125,,
ED_n070_032_a75_096,ED,123,200,2075.0,2081.0,-6.0,427.56,370.27,"[5.9854, 7.8935, 6.5758]","[7.801, 7.5063, 5.9448, 5.9173]","[66, 71, 63]","[55, 55, 53, 37]","[74, 59, 67]","[59, 55, 48, 38]",142,127,,
ED_n070_032_a75_096,ED,456,200,2082.0,2082.0,0.0,466.33,421.99,"[4.8732, 8.2564, 6.1803]","[8.1315, 7.1527, 5.4823, 5.8759]","[61, 75, 64]","[50, 69, 47, 34]","[64, 81, 55]","[48, 56, 49, 47]",122,130,,
ED_n070_032_a75_096,ED,789,200,2083.0,2081.0,2.0,397.22,351.54,"[5.3713, 7.9853, 4.8567]","[6.9088, 7.0599, 5.4812, 5.1153]","[73, 80, 47]","[46, 68, 44, 42]","[75, 72, 53]","[47, 63, 43, 47]",117,128,,
ED_n070_032_a75_096,ED,1337,200,2084.0,2082.0,2.0,390.46,368.87,"[4.8376, 7.7888, 6.1331]","[7.8501, 7.1345, 5.6298, 5.0896]","[57, 79, 64]","[58, 46, 48, 48]","[71, 70, 59]","[51, 52, 46, 51]",123,125,,
ED_n070_032_a75_096,ED,2024,200,2081.0,2072.0,9.0,380.31,402.51,"[5.578, 7.7892, 5.6218]","[7.6955, 6.9644, 5.1702, 5.0916]","[62, 71, 67]","[48, 64, 45, 43]","[65, 67, 68]","[45, 56, 57, 42]",125,119,,
ED_n070_035_a25_103,ED,42,200,1479.0,1479.0,0.0,84.35,83.58,"[6.0611, 6.9673, 6.8372]","[7.256, 7.4983, 5.7347, 5.7985]","[56, 72, 72]","[51, 57, 47, 45]","[59, 75, 66]","[52, 58, 47, 43]",165,169,,
ED_n070_035_a25_103,ED,123,200,1467.0,1479.0,-12.0,64.92,87.17,"[5.9647, 6.856, 5.4114]","[6.6827, 7.3432, 4.7788, 5.021]","[71, 71, 58]","[61, 61, 37, 41]","[74, 69, 57]","[65, 37, 53, 45]",167,160,,
ED_n070_035_a25_103,ED,456,200,1469.0,1467.0,2.0,77.2,71.06,"[5.3716, 7.1914, 6.6182]","[7.4576, 6.943, 5.3342, 6.1699]","[69, 71, 60]","[47, 53, 44, 56]","[77, 57, 66]","[47, 52, 48, 53]",154,150,,
ED_n070_035_a25_103,ED,789,200,1468.0,1468.0,0.0,78.48,80.89,"[6.1068, 7.3343, 6.3682]","[7.8707, 6.5393, 6.2966, 6.0419]","[61, 73, 66]","[54, 48, 59, 39]","[64, 73, 63]","[49, 52, 61, 38]",158,163,,
ED_n070_035_a25_103,ED,1337,200,1467.0,1478.0,-11.0,72.25,87.32,"[6.5784, 7.0427, 6.5122]","[7.1675, 7.5339, 6.5483, 5.2567]","[71, 59, 70]","[58, 54, 53, 35]","[80, 64, 56]","[49, 43, 54, 54]",167,152,,
ED_n070_035_a25_103,ED,2024,200,1479.0,1478.0,1.0,101.78,102.29,"[5.3068, 7.0786, 6.6512]","[7.2151, 7.5427, 5.47, 5.1323]","[55, 75, 70]","[59, 52, 49, 40]","[66, 60, 74]","[52, 53, 54, 41]",157,162,,
ED_n075_037_a25_109,ED,42,200,1273.0,1273.0,0.0,45.65,49.68,"[5.7376, 7.0923, 5.4678]","[7.8978, 7.1371, 5.1573, 4.4364]","[59, 82, 59]","[46, 65, 55, 34]","[68, 65, 67]","[48, 55, 49, 48]",159,170,,
ED_n075_037_a25_109,ED,123,200,1273.0,1273.0,0.0,39.6,39.21,"[5.7726, 6.9745, 5.4622]","[7.2968, 7.48, 4.5765, 4.3977]","[63, 73, 64]","[66, 50, 44, 40]","[57, 67, 76]","[63, 49, 46, 42]",162,169,,
ED_n075_037_a25_109,ED,456,200,1273.0,1273.0,0.0,42.76,50.73,"[5.9474, 6.9493, 5.818]","[6.7113, 7.0889, 5.9382, 4.8212]","[52, 79, 69]","[54, 62, 49, 35]","[63, 71, 66]","[52, 49, 60, 39]",173,167,,
ED_n075_037_a25_109,ED,789,200,1273.0,1273.0,0.0,40.89,42.26,"[6.2489, 6.9595, 5.8985]","[7.3039, 6.7441, 5.7181, 5.1744]","[78, 68, 54]","[57, 51, 41, 51]","[77, 70, 53]","[54, 55, 43, 48]",161,166,,
