instance,family,n,K,alpha,gap,distance,tier
B_n130_020_a50_059,B,130,2,0.5,0.0,Line,exact
B_n130_020_a75_060,B,130,2,0.75,0.0218,Line,<0.5%
B_n140_021_a25_061,B,140,2,0.25,1.6588,Line,1-2%
B_n140_021_a50_062,B,140,2,0.5,0.1288,Line,<0.5%
B_n140_021_a75_063,B,140,2,0.75,0.0618,Line,<0.5%
B_n140_022_a25_064,B,140,2,0.25,0.0884,Line,<0.5%
B_n140_022_a50_065,B,140,2,0.5,0.0197,Line,<0.5%
B_n140_022_a75_066,B,140,2,0.75,0.0,Line,exact
B_n140_023_a25_067,B,140,2,0.25,0.4476,Line,<0.5%
B_n140_023_a50_068,B,140,2,0.5,0.1414,Line,<0.5%
B_n140_023_a75_069,B,140,2,0.75,0.0,Line,exact
B_n140_024_a25_070,B,140,2,0.25,1.1819,Line,1-2%
B_n140_024_a50_071,B,140,2,0.5,0.0179,Line,<0.5%
B_n140_024_a75_072,B,140,2,0.75,0.0,Line,exact
B_n140_025_a25_073,B,140,2,0.25,0.1199,Line,<0.5%
B_n140_025_a50_074,B,140,2,0.5,0.0646,Line,<0.5%
B_n140_025_a75_075,B,140,2,0.75,0.0,Line,exact
B_n150_026_a25_076,B,150,2,0.25,1.8446,Line,1-2%
B_n150_026_a50_077,B,150,2,0.5,0.1807,Line,<0.5%
B_n150_026_a75_078,B,150,2,0.75,0.0578,Line,<0.5%
B_n150_027_a25_079,B,150,2,0.25,0.2849,Line,<0.5%
B_n150_027_a50_080,B,150,2,0.5,0.2458,Line,<0.5%
B_n150_027_a75_081,B,150,2,0.75,0.0184,Line,<0.5%
B_n150_028_a25_082,B,150,2,0.25,0.4351,Line,<0.5%
B_n150_028_a50_083,B,150,2,0.5,0.2556,Line,<0.5%
B_n150_028_a75_084,B,150,2,0.75,0.0,Line,exact
B_n150_029_a25_085,B,150,2,0.25,0.2605,Line,<0.5%
B_n150_029_a50_086,B,150,2,0.5,0.0,Line,exact
B_n150_029_a75_087,B,150,2,0.75,0.0,Line,exact
B_n150_030_a25_088,B,150,2,0.25,0.0844,Line,<0.5%
B_n150_030_a50_089,B,150,2,0.5,0.1406,Line,<0.5%
B_n150_030_a75_090,B,150,2,0.75,0.0946,Line,<0.5%
C_n050_001_a25_001,C,50,3,0.25,0.0,Line,exact
C_n050_001_a50_002,C,50,3,0.5,0.0,Line,exact
C_n050_001_a75_003,C,50,3,0.75,0.0,Line,exact
C_n050_002_a25_004,C,50,3,0.25,0.0,Line,exact
C_n050_002_a50_005,C,50,3,0.5,0.0,Line,exact
C_n050_002_a75_006,C,50,3,0.75,0.0,Line,exact
C_n050_003_a25_007,C,50,3,0.25,0.1005,Line,<0.5%
C_n050_003_a50_008,C,50,3,0.5,0.0734,Line,<0.5%
C_n050_003_a75_009,C,50,3,0.75,0.0,Line,exact
C_n050_004_a25_010,C,50,3,0.25,0.0805,Line,<0.5%
C_n050_004_a50_011,C,50,3,0.5,0.0496,Line,<0.5%
C_n050_004_a75_012,C,50,3,0.75,0.0,Line,exact
C_n050_005_a25_013,C,50,3,0.25,0.0928,Line,<0.5%
C_n050_005_a50_014,C,50,3,0.5,0.0,Line,exact
C_n050_005_a75_015,C,50,3,0.75,0.0,Line,exact
C_n055_006_a25_016,C,55,3,0.25,0.0,Line,exact
C_n055_006_a50_017,C,55,3,0.5,0.0,Line,exact
C_n055_006_a75_018,C,55,3,0.75,0.0,Line,exact
C_n055_007_a25_019,C,55,3,0.25,0.0,Line,exact
C_n055_007_a50_020,C,55,3,0.5,0.0,Line,exact
C_n055_007_a75_021,C,55,3,0.75,0.0,Line,exact
C_n055_008_a25_022,C,55,3,0.25,0.0,Line,exact
C_n055_008_a50_023,C,55,3,0.5,0.0724,Line,<0.5%
C_n055_008_a75_024,C,55,3,0.75,0.0,Line,exact
C_n055_009_a25_025,C,55,3,0.25,0.0739,Line,<0.5%
C_n055_009_a50_026,C,55,3,0.5,0.0449,Line,<0.5%
C_n055_009_a75_027,C,55,3,0.75,0.0,Line,exact
C_n055_010_a25_028,C,55,3,0.25,0.0842,Line,<0.5%
C_n055_010_a50_029,C,55,3,0.5,0.0,Line,exact
C_n055_010_a75_030,C,55,3,0.75,0.0,Line,exact
C_n060_011_a25_031,C,60,3,0.25,0.0824,Line,<0.5%
C_n060_011_a50_032,C,60,3,0.5,0.0,Line,exact
C_n060_011_a75_033,C,60,3,0.75,0.0,Line,exact
C_n060_012_a25_034,C,60,3,0.25,0.1794,Line,<0.5%
C_n060_012_a50_035,C,60,3,0.5,0.0,Line,exact
C_n060_012_a75_036,C,60,3,0.75,0.0,Line,exact
C_n060_013_a25_037,C,60,3,0.25,0.0,Line,exact
C_n060_013_a50_038,C,60,3,0.5,0.112,Line,<0.5%
C_n060_013_a75_039,C,60,3,0.75,0.0,Line,exact
C_n060_014_a25_040,C,60,3,0.25,0.0647,Line,<0.5%
C_n060_014_a50_041,C,60,3,0.5,0.0,Line,exact
C_n060_014_a75_042,C,60,3,0.75,0.0,Line,exact
C_n060_015_a25_043,C,60,3,0.25,0.1362,Line,<0.5%
C_n060_015_a50_044,C,60,3,0.5,0.0,Line,exact
C_n060_015_a75_045,C,60,3,0.75,0.0,Line,exact
C_n065_016_a25_046,C,65,3,0.25,0.0762,Line,<0.5%
C_n065_016_a50_047,C,65,3,0.5,0.0,Line,exact
C_n065_016_a75_048,C,65,3,0.75,0.0,Line,exact
C_n065_017_a25_049,C,65,3,0.25,0.0767,Line,<0.5%
C_n065_017_a50_050,C,65,3,0.5,0.0,Line,exact
C_n065_017_a75_051,C,65,3,0.75,0.0,Line,exact
C_n065_018_a25_052,C,65,3,0.25,0.0,Line,exact
C_n065_018_a50_053,C,65,3,0.5,0.1572,Line,<0.5%
C_n065_018_a75_054,C,65,3,0.75,0.0,Line,exact
C_n065_019_a25_055,C,65,3,0.25,0.0,Line,exact
C_n065_019_a50_056,C,65,3,0.5,0.0406,Line,<0.5%
C_n065_019_a75_057,C,65,3,0.75,0.0,Line,exact
C_n065_020_a25_058,C,65,3,0.25,0.1276,Line,<0.5%
C_n065_020_a50_059,C,65,3,0.5,0.086,Line,<0.5%
C_n065_020_a75_060,C,65,3,0.75,0.0,Line,exact
C_n070_021_a25_061,C,70,3,0.25,0.2278,Line,<0.5%
C_n070_021_a50_062,C,70,3,0.5,0.0509,Line,<0.5%
C_n070_021_a75_063,C,70,3,0.75,0.0,Line,exact
C_n070_022_a25_064,C,70,3,0.25,0.1413,Line,<0.5%
C_n070_022_a50_065,C,70,3,0.5,0.3883,Line,<0.5%
C_n070_022_a75_066,C,70,3,0.75,0.0,Line,exact
C_n070_023_a25_067,C,70,3,0.25,0.3062,Line,<0.5%
C_n070_023_a50_068,C,70,3,0.5,0.0,Line,exact
C_n070_023_a75_069,C,70,3,0.75,0.0,Line,exact
C_n070_024_a25_070,C,70,3,0.25,0.0,Line,exact
C_n070_024_a50_071,C,70,3,0.5,0.0,Line,exact
C_n070_024_a75_072,C,70,3,0.75,0.0,Line,exact
C_n070_025_a25_073,C,70,3,0.25,0.0595,Line,<0.5%
C_n070_025_a50_074,C,70,3,0.5,0.0816,Line,<0.5%
C_n070_025_a75_075,C,70,3,0.75,0.0,Line,exact
C_n075_026_a25_076,C,75,3,0.25,0.0759,Line,<0.5%
C_n075_026_a50_077,C,75,3,0.5,0.0506,Line,<0.5%
C_n075_026_a75_078,C,75,3,0.75,0.0,Line,exact
C_n075_027_a25_079,C,75,3,0.25,0.0,Line,exact
C_n075_027_a50_080,C,75,3,0.5,0.0458,Line,<0.5%
C_n075_027_a75_081,C,75,3,0.75,0.0,Line,exact
C_n075_028_a25_082,C,75,3,0.25,0.2726,Line,<0.5%
C_n075_028_a50_083,C,75,3,0.5,0.0,Line,exact
C_n075_028_a75_084,C,75,3,0.75,0.0,Line,exact
C_n075_029_a25_085,C,75,3,0.25,0.1842,Line,<0.5%
C_n075_029_a50_086,C,75,3,0.5,0.2987,Line,<0.5%
C_n075_029_a75_087,C,75,3,0.75,0.0,Line,exact
C_n075_030_a25_088,C,75,3,0.25,0.0,Line,exact
C_n075_030_a50_089,C,75,3,0.5,0.1555,Line,<0.5%
C_n075_030_a75_090,C,75,3,0.75,0.0,Line,exact
C_n080_031_a25_091,C,80,3,0.25,0.066,Line,<0.5%
C_n080_031_a50_092,C,80,3,0.5,0.0437,Line,<0.5%
C_n080_031_a75_093,C,80,3,0.75,0.0,Line,exact
C_n080_032_a25_094,C,80,3,0.25,0.0,Line,exact
C_n080_032_a50_095,C,80,3,0.5,0.0416,Line,<0.5%
C_n080_032_a75_096,C,80,3,0.75,0.0,Line,exact
C_n080_033_a25_097,C,80,3,0.25,0.2948,Line,<0.5%
C_n080_033_a50_098,C,80,3,0.5,0.0,Line,exact
C_n080_033_a75_099,C,80,3,0.75,0.0,Line,exact
C_n080_034_a25_100,C,80,3,0.25,0.1761,Line,<0.5%
C_n080_034_a50_101,C,80,3,0.5,0.0624,Line,<0.5%
C_n080_034_a75_102,C,80,3,0.75,0.0,Line,exact
C_n080_035_a25_103,C,80,3,0.25,0.2629,Line,<0.5%
C_n080_035_a50_104,C,80,3,0.5,0.1438,Line,<0.5%
C_n080_035_a75_105,C,80,3,0.75,0.0,Line,exact
D_n040_001_a25_001,D,40,4,0.25,0.0,Line,exact
D_n040_001_a50_002,D,40,4,0.5,0.0,Line,exact
D_n040_001_a75_003,D,40,4,0.75,0.0,Line,exact
D_n040_002_a25_004,D,40,4,0.25,0.0,Line,exact
D_n040_002_a50_005,D,40,4,0.5,0.0,Line,exact
D_n040_002_a75_006,D,40,4,0.75,0.0,Line,exact
D_n040_003_a25_007,D,40,4,0.25,0.0,Line,exact
D_n040_003_a50_008,D,40,4,0.5,0.0,Line,exact
D_n040_003_a75_009,D,40,4,0.75,0.0,Line,exact
D_n040_004_a25_010,D,40,4,0.25,0.0,Line,exact
D_n040_004_a50_011,D,40,4,0.5,0.0,Line,exact
D_n040_004_a75_012,D,40,4,0.75,0.0,Line,exact
D_n040_005_a25_013,D,40,4,0.25,0.0,Line,exact
D_n040_005_a50_014,D,40,4,0.5,0.1478,Line,<0.5%
D_n040_005_a75_015,D,40,4,0.75,0.0,Line,exact
D_n045_006_a25_016,D,45,4,0.25,0.0,Line,exact
D_n045_006_a50_017,D,45,4,0.5,0.0,Line,exact
D_n045_006_a75_018,D,45,4,0.75,0.0,Line,exact
D_n045_007_a25_019,D,45,4,0.25,0.1508,Line,<0.5%
D_n045_007_a50_020,D,45,4,0.5,0.0,Line,exact
D_n045_007_a75_021,D,45,4,0.75,0.0,Line,exact
D_n045_008_a25_022,D,45,4,0.25,0.0,Line,exact
D_n045_008_a50_023,D,45,4,0.5,0.0747,Line,<0.5%
D_n045_008_a75_024,D,45,4,0.75,0.0,Line,exact
D_n045_009_a25_025,D,45,4,0.25,0.2132,Line,<0.5%
D_n045_009_a50_026,D,45,4,0.5,0.0,Line,exact
D_n045_009_a75_027,D,45,4,0.75,0.0,Line,exact
D_n045_010_a25_028,D,45,4,0.25,0.0,Line,exact
D_n045_010_a50_029,D,45,4,0.5,0.1366,Line,<0.5%
D_n045_010_a75_030,D,45,4,0.75,0.0,Line,exact
D_n050_011_a25_031,D,50,4,0.25,0.0,Line,exact
D_n050_011_a50_032,D,50,4,0.5,0.0,Line,exact
D_n050_011_a75_033,D,50,4,0.75,0.0,Line,exact
D_n050_012_a25_034,D,50,4,0.25,0.1326,Line,<0.5%
D_n050_012_a50_035,D,50,4,0.5,0.0,Line,exact
D_n050_012_a75_036,D,50,4,0.75,0.0,Line,exact
D_n050_013_a25_037,D,50,4,0.25,0.0,Line,exact
D_n050_013_a50_038,D,50,4,0.5,0.2219,Line,<0.5%
D_n050_013_a75_039,D,50,4,0.75,0.0,Line,exact
D_n050_014_a25_040,D,50,4,0.25,0.1757,Line,<0.5%
D_n050_014_a50_041,D,50,4,0.5,0.2206,Line,<0.5%
D_n050_014_a75_042,D,50,4,0.75,0.0,Line,exact
D_n050_015_a25_043,D,50,4,0.25,0.1032,Line,<0.5%
D_n050_015_a50_044,D,50,4,0.5,0.0,Line,exact
D_n050_015_a75_045,D,50,4,0.75,0.0,Line,exact
D_n055_016_a25_046,D,55,4,0.25,0.1015,Line,<0.5%
D_n055_016_a50_047,D,55,4,0.5,0.0,Line,exact
D_n055_016_a75_048,D,55,4,0.75,0.0,Line,exact
D_n055_017_a25_049,D,55,4,0.25,0.0,Line,exact
D_n055_017_a50_050,D,55,4,0.5,0.0,Line,exact
D_n055_017_a75_051,D,55,4,0.75,0.0,Line,exact
D_n055_018_a25_052,D,55,4,0.25,0.0,Line,exact
D_n055_018_a50_053,D,55,4,0.5,0.146,Line,<0.5%
D_n055_018_a75_054,D,55,4,0.75,0.0,Line,exact
D_n055_019_a25_055,D,55,4,0.25,0.8643,Line,0.5-1%
D_n055_019_a50_056,D,55,4,0.5,0.2597,Line,<0.5%
D_n055_019_a75_057,D,55,4,0.75,0.0,Line,exact
D_n055_020_a25_058,D,55,4,0.25,0.1726,Line,<0.5%
D_n055_020_a50_059,D,55,4,0.5,0.0,Line,exact
D_n055_020_a75_060,D,55,4,0.75,0.0,Line,exact
D_n060_021_a25_061,D,60,4,0.25,0.0922,Line,<0.5%
D_n060_021_a50_062,D,60,4,0.5,0.0,Line,exact
D_n060_021_a75_063,D,60,4,0.75,0.0,Line,exact
D_n060_022_a25_064,D,60,4,0.25,0.0923,Line,<0.5%
D_n060_022_a50_065,D,60,4,0.5,0.7263,Line,0.5-1%
D_n060_022_a75_066,D,60,4,0.75,0.0,Line,exact
D_n060_023_a25_067,D,60,4,0.25,0.1581,Line,<0.5%
D_n060_023_a50_068,D,60,4,0.5,0.2259,Line,<0.5%
D_n060_023_a75_069,D,60,4,0.75,0.1487,Line,<0.5%
D_n060_024_a25_070,D,60,4,0.25,0.0631,Line,<0.5%
D_n060_024_a50_071,D,60,4,0.5,0.0,Line,exact
D_n060_024_a75_072,D,60,4,0.75,0.0,Line,exact
D_n060_025_a25_073,D,60,4,0.25,0.2559,Line,<0.5%
D_n060_025_a50_074,D,60,4,0.5,0.0,Line,exact
D_n060_025_a75_075,D,60,4,0.75,0.0,Line,exact
D_n065_026_a25_076,D,65,4,0.25,0.0843,Line,<0.5%
D_n065_026_a50_077,D,65,4,0.5,0.0,Line,exact
D_n065_026_a75_078,D,65,4,0.75,0.0,Line,exact
D_n065_027_a25_079,D,65,4,0.25,0.1825,Line,<0.5%
D_n065_027_a50_080,D,65,4,0.5,0.7218,Line,0.5-1%
D_n065_027_a75_081,D,65,4,0.75,0.0504,Line,<0.5%
D_n065_028_a25_082,D,65,4,0.25,0.3602,Line,<0.5%
D_n065_028_a50_083,D,65,4,0.5,0.0507,Line,<0.5%
D_n065_028_a75_084,D,65,4,0.75,0.0,Line,exact
D_n065_029_a25_085,D,65,4,0.25,0.2998,Line,<0.5%
D_n065_029_a50_086,D,65,4,0.5,0.0408,Line,<0.5%
D_n065_029_a75_087,D,65,4,0.75,0.0,Line,exact
D_n065_030_a25_088,D,65,4,0.25,0.5272,Line,0.5-1%
D_n065_030_a50_089,D,65,4,0.5,0.5532,Line,0.5-1%
D_n065_030_a75_090,D,65,4,0.75,0.0,Line,exact
D_n070_031_a25_091,D,70,4,0.25,0.0,Line,exact
D_n070_031_a50_092,D,70,4,0.5,0.1068,Line,<0.5%
D_n070_031_a75_093,D,70,4,0.75,0.1034,Line,<0.5%
D_n070_032_a25_094,D,70,4,0.25,0.4992,Line,<0.5%
D_n070_032_a50_095,D,70,4,0.5,0.5732,Line,0.5-1%
D_n070_032_a75_096,D,70,4,0.75,0.3799,Line,<0.5%
D_n070_033_a25_097,D,70,4,0.25,0.1854,Line,<0.5%
D_n070_033_a50_098,D,70,4,0.5,0.0,Line,exact
D_n070_033_a75_099,D,70,4,0.75,0.0,Line,exact
D_n070_034_a25_100,D,70,4,0.25,0.0,Line,exact
D_n070_034_a50_101,D,70,4,0.5,0.0365,Line,<0.5%
D_n070_034_a75_102,D,70,4,0.75,0.0688,Line,<0.5%
D_n070_035_a25_103,D,70,4,0.25,0.4098,Line,<0.5%
D_n070_035_a50_104,D,70,4,0.5,0.7601,Line,0.5-1%
D_n070_035_a75_105,D,70,4,0.75,0.0,Line,exact
D_n075_036_a25_106,D,75,4,0.25,0.3615,Line,<0.5%
D_n075_036_a50_107,D,75,4,0.5,0.0476,Line,<0.5%
D_n075_036_a75_108,D,75,4,0.75,0.0932,Line,<0.5%
D_n075_037_a25_109,D,75,4,0.25,0.066,Line,<0.5%
D_n075_037_a50_110,D,75,4,0.5,0.0448,Line,<0.5%
D_n075_037_a75_111,D,75,4,0.75,0.0428,Line,<0.5%
D_n075_038_a25_112,D,75,4,0.25,0.165,Line,<0.5%
D_n075_038_a50_113,D,75,4,0.5,0.0,Line,exact
D_n075_038_a75_114,D,75,4,0.75,0.0,Line,exact
D_n075_039_a25_115,D,75,4,0.25,0.0882,Line,<0.5%
D_n075_039_a50_116,D,75,4,0.5,0.3569,Line,<0.5%
D_n075_039_a75_117,D,75,4,0.75,0.0,Line,exact
D_n075_040_a25_118,D,75,4,0.25,0.4376,Line,<0.5%
D_n075_040_a50_119,D,75,4,0.5,0.6576,Line,0.5-1%
D_n075_040_a75_120,D,75,4,0.75,0.0364,Line,<0.5%
D_n080_041_a25_121,D,80,4,0.25,0.1158,Line,<0.5%
D_n080_041_a50_122,D,80,4,0.5,0.2685,Line,<0.5%
D_n080_041_a75_123,D,80,4,0.75,0.044,Line,<0.5%
D_n080_042_a25_124,D,80,4,0.25,0.6464,Line,0.5-1%
D_n080_042_a50_125,D,80,4,0.5,0.126,Line,<0.5%
D_n080_042_a75_126,D,80,4,0.75,0.0405,Line,<0.5%
D_n080_043_a25_127,D,80,4,0.25,0.0996,Line,<0.5%
D_n080_043_a50_128,D,80,4,0.5,0.0367,Line,<0.5%
D_n080_043_a75_129,D,80,4,0.75,0.0,Line,exact
D_n080_044_a25_130,D,80,4,0.25,0.1323,Line,<0.5%
D_n080_044_a50_131,D,80,4,0.5,0.6112,Line,0.5-1%
D_n080_044_a75_132,D,80,4,0.75,0.0902,Line,<0.5%
D_n080_045_a25_133,D,80,4,0.25,0.676,Line,0.5-1%
D_n080_045_a50_134,D,80,4,0.5,0.7939,Line,0.5-1%
D_n080_045_a75_135,D,80,4,0.75,0.1353,Line,<0.5%
EB_n100_001_a25_001,EB,100,2,0.25,0.1241,Euclidean,<0.5%
EB_n100_001_a50_002,EB,100,2,0.5,0.0708,Euclidean,<0.5%
EB_n100_001_a75_003,EB,100,2,0.75,0.0,Euclidean,exact
EB_n100_002_a25_004,EB,100,2,0.25,0.2147,Euclidean,<0.5%
EB_n100_002_a50_005,EB,100,2,0.5,0.0328,Euclidean,<0.5%
EB_n100_002_a75_006,EB,100,2,0.75,0.0,Euclidean,exact
EB_n100_003_a25_007,EB,100,2,0.25,0.1236,Euclidean,<0.5%
EB_n100_003_a50_008,EB,100,2,0.5,0.0678,Euclidean,<0.5%
EB_n100_003_a75_009,EB,100,2,0.75,0.0,Euclidean,exact
EB_n100_004_a25_010,EB,100,2,0.25,0.0414,Euclidean,<0.5%
EB_n100_004_a50_011,EB,100,2,0.5,0.0269,Euclidean,<0.5%
EB_n100_004_a75_012,EB,100,2,0.75,0.0,Euclidean,exact
EB_n100_005_a25_013,EB,100,2,0.25,0.0,Euclidean,exact
EB_n100_005_a50_014,EB,100,2,0.5,0.0,Euclidean,exact
EB_n100_005_a75_015,EB,100,2,0.75,0.0,Euclidean,exact
EB_n110_006_a25_016,EB,110,2,0.25,0.0584,Euclidean,<0.5%
EB_n110_006_a50_017,EB,110,2,0.5,0.2148,Euclidean,<0.5%
EB_n110_006_a75_018,EB,110,2,0.75,0.0,Euclidean,exact
EB_n110_007_a25_019,EB,110,2,0.25,0.0966,Euclidean,<0.5%
EB_n110_007_a50_020,EB,110,2,0.5,0.1727,Euclidean,<0.5%
EB_n110_007_a75_021,EB,110,2,0.75,0.0,Euclidean,exact
EB_n110_008_a25_022,EB,110,2,0.25,0.2187,Euclidean,<0.5%
EB_n110_008_a50_023,EB,110,2,0.5,0.0283,Euclidean,<0.5%
EB_n110_008_a75_024,EB,110,2,0.75,0.0,Euclidean,exact
EB_n110_009_a25_025,EB,110,2,0.25,0.0371,Euclidean,<0.5%
EB_n110_009_a50_026,EB,110,2,0.5,0.0474,Euclidean,<0.5%
EB_n110_009_a75_027,EB,110,2,0.75,0.0,Euclidean,exact
EB_n110_010_a25_028,EB,110,2,0.25,0.2812,Euclidean,<0.5%
EB_n110_010_a50_029,EB,110,2,0.5,0.0,Euclidean,exact
EB_n110_010_a75_030,EB,110,2,0.75,0.0,Euclidean,exact
EB_n120_011_a25_031,EB,120,2,0.25,0.295,Euclidean,<0.5%
EB_n120_011_a50_032,EB,120,2,0.5,0.2323,Euclidean,<0.5%
EB_n120_011_a75_033,EB,120,2,0.75,0.0246,Euclidean,<0.5%
EB_n120_012_a25_034,EB,120,2,0.25,0.1999,Euclidean,<0.5%
EB_n120_012_a50_035,EB,120,2,0.5,0.2967,Euclidean,<0.5%
EB_n120_012_a75_036,EB,120,2,0.75,0.0,Euclidean,exact
EB_n120_013_a25_037,EB,120,2,0.25,0.1857,Euclidean,<0.5%
EB_n120_013_a50_038,EB,120,2,0.5,0.0247,Euclidean,<0.5%
EB_n120_013_a75_039,EB,120,2,0.75,0.0,Euclidean,exact
EB_n120_014_a25_040,EB,120,2,0.25,0.5145,Euclidean,0.5-1%
EB_n120_014_a50_041,EB,120,2,0.5,0.0,Euclidean,exact
EB_n120_014_a75_042,EB,120,2,0.75,0.0,Euclidean,exact
EB_n120_015_a25_043,EB,120,2,0.25,0.1777,Euclidean,<0.5%
EB_n120_015_a50_044,EB,120,2,0.5,0.0259,Euclidean,<0.5%
EB_n120_015_a75_045,EB,120,2,0.75,0.0,Euclidean,exact
EB_n130_016_a25_046,EB,130,2,0.25,0.223,Euclidean,<0.5%
EB_n130_016_a50_047,EB,130,2,0.5,0.0244,Euclidean,<0.5%
EB_n130_016_a75_048,EB,130,2,0.75,0.2305,Euclidean,<0.5%
EB_n130_017_a25_049,EB,130,2,0.25,0.1864,Euclidean,<0.5%
EB_n130_017_a50_050,EB,130,2,0.5,0.5623,Euclidean,0.5-1%
EB_n130_017_a75_051,EB,130,2,0.75,0.0,Euclidean,exact
EB_n130_018_a25_052,EB,130,2,0.25,0.1983,Euclidean,<0.5%
EB_n130_018_a50_053,EB,130,2,0.5,0.0671,Euclidean,<0.5%
EB_n130_018_a75_054,EB,130,2,0.75,0.1527,Euclidean,<0.5%
EB_n130_019_a25_055,EB,130,2,0.25,0.4257,Euclidean,<0.5%
EB_n130_019_a50_056,EB,130,2,0.5,0.021,Euclidean,<0.5%
EB_n130_019_a75_057,EB,130,2,0.75,0.1698,Euclidean,<0.5%
EB_n130_020_a25_058,EB,130,2,0.25,0.1701,Euclidean,<0.5%
EB_n130_020_a50_059,EB,130,2,0.5,0.2213,Euclidean,<0.5%
EB_n130_020_a75_060,EB,130,2,0.75,0.196,Euclidean,<0.5%
EB_n140_021_a25_061,EB,140,2,0.25,0.2358,Euclidean,<0.5%
EB_n140_021_a50_062,EB,140,2,0.5,0.2664,Euclidean,<0.5%
EB_n140_021_a75_063,EB,140,2,0.75,0.2675,Euclidean,<0.5%
EB_n140_022_a25_064,EB,140,2,0.25,0.4318,Euclidean,<0.5%
EB_n140_022_a50_065,EB,140,2,0.5,0.5076,Euclidean,0.5-1%
EB_n140_022_a75_066,EB,140,2,0.75,0.0,Euclidean,exact
EB_n140_023_a25_067,EB,140,2,0.25,0.1197,Euclidean,<0.5%
EB_n140_023_a50_068,EB,140,2,0.5,0.1826,Euclidean,<0.5%
