stratum,B1,B2,B3,B4,B5,B6,B7,B8,S
closing,-0.0055,0.0129,0.008,2.497,0.0059,0.0167,0.0028,0.0,2.5313
hard_tail,0.0227,0.0995,-0.011,2.4949,0.001,0.0191,0.0,0.0,2.5106
