instance,family,a0_obj,a0_ub,a0_stop,a0_phases,a0_rt_s,ap_obj,ap_ub,ap_stop,ap_phases,ap_rt_s,delta,delta_pct,abs_delta_pct,commit,source_dirty,error
ED_n065_028_a25_082,ED,1152.0,1157,TIERS_EXHAUSTED,4,1212.0,1152.0,1157,TIERS_EXHAUSTED,4,1212.0,0.0,0.0,0.0,818869e624ea,False,
EB_n120_014_a25_040,EB,2707.0,2721,TIERS_EXHAUSTED,4,1218.2,2707.0,2721,TIERS_EXHAUSTED,4,1218.9,0.0,0.0,0.0,818869e624ea,False,
ED_n065_027_a50_080,ED,1747.0,1766,TIERS_EXHAUSTED,6,1836.8,1747.0,1766,TIERS_EXHAUSTED,5,1529.3,0.0,0.0,0.0,818869e624ea,False,
EC_n080_033_a25_097,EC,1806.0,1812,TIERS_EXHAUSTED,4,1229.8,1806.0,1812,TIERS_EXHAUSTED,4,1230.0,0.0,0.0,0.0,818869e624ea,False,
ED_n060_025_a50_074,ED,2014.0,2014,UB,1,303.4,2014.0,2014,UB,1,332.8,0.0,0.0,0.0,818869e624ea,False,
B_n120_011_a25_031,B,2526.0,2574,TIERS_EXHAUSTED,4,1300.2,2526.0,2574,TIERS_EXHAUSTED,4,1303.6,0.0,0.0,0.0,818869e624ea,False,
D_n065_027_a50_080,D,1788.0,1801,TIERS_EXHAUSTED,5,1551.9,1788.0,1801,TIERS_EXHAUSTED,4,1248.9,0.0,0.0,0.0,818869e624ea,False,
D_n075_040_a50_119,D,2567.0,2585,TIERS_EXHAUSTED,4,1325.6,2567.0,2585,TIERS_EXHAUSTED,4,1353.6,0.0,0.0,0.0,818869e624ea,False,
EC_n075_028_a25_082,EC,1697.0,1703,TIERS_EXHAUSTED,4,1225.9,1697.0,1703,TIERS_EXHAUSTED,4,1225.5,0.0,0.0,0.0,818869e624ea,False,
D_n080_042_a25_124,D,1537.0,1547,TIERS_EXHAUSTED,4,1312.1,1537.0,1547,TIERS_EXHAUSTED,4,1315.9,0.0,0.0,0.0,818869e624ea,False,
EB_n130_019_a25_055,EB,2807.0,2819,TIERS_EXHAUSTED,4,1224.2,2807.0,2819,TIERS_EXHAUSTED,4,1222.1,0.0,0.0,0.0,818869e624ea,False,
EC_n080_032_a50_095,EC,2275.0,2286,TIERS_EXHAUSTED,4,1239.6,2275.0,2286,TIERS_EXHAUSTED,4,1236.3,0.0,0.0,0.0,818869e624ea,False,
D_n070_032_a50_095,D,1907.0,1920,TIERS_EXHAUSTED,4,1260.1,1907.0,1920,TIERS_EXHAUSTED,4,1263.2,0.0,0.0,0.0,818869e624ea,False,
ED_n065_030_a25_088,ED,1478.0,1478,UB,1,114.3,1478.0,1478,UB,1,106.2,0.0,0.0,0.0,818869e624ea,False,
ED_n070_035_a25_103,ED,1479.0,1479,UB,1,108.9,1479.0,1479,UB,2,466.7,0.0,0.0,0.0,818869e624ea,False,
ED_n070_032_a75_096,ED,2082.0,2095,TIERS_EXHAUSTED,5,1601.6,2085.0,2095,TIERS_EXHAUSTED,6,1897.5,-3.0,-0.143266,0.143266,818869e624ea,False,
B_n150_028_a25_082,B,3890.0,3907,TIERS_EXHAUSTED,4,1276.1,3890.0,3900,TIERS_EXHAUSTED,7,2200.5,0.0,0.0,0.0,818869e624ea,False,
D_n080_045_a50_134,D,2751.0,2758,TIERS_EXHAUSTED,8,2663.0,2750.0,2771,TIERS_EXHAUSTED,5,1693.7,1.0,0.036271,0.036271,818869e624ea,False,
B_n130_016_a25_046,B,2744.0,2799,TIERS_EXHAUSTED,4,1325.0,2744.0,2799,TIERS_EXHAUSTED,4,1327.5,0.0,0.0,0.0,818869e624ea,False,
ED_n075_037_a25_109,ED,1273.0,1282,TIERS_EXHAUSTED,4,1258.4,1273.0,1282,TIERS_EXHAUSTED,4,1258.3,0.0,0.0,0.0,818869e624ea,False,
EB_n140_022_a25_064,EB,2767.0,2779,TIERS_EXHAUSTED,5,1617.2,2767.0,2779,TIERS_EXHAUSTED,5,1619.7,0.0,0.0,0.0,818869e624ea,False,
B_n150_026_a25_076,B,3246.0,3307,TIERS_EXHAUSTED,4,1333.4,3246.0,3307,TIERS_EXHAUSTED,4,1338.6,0.0,0.0,0.0,818869e624ea,False,
B_n140_021_a25_061,B,3142.0,3195,TIERS_EXHAUSTED,4,1334.4,3142.0,3195,TIERS_EXHAUSTED,4,1334.4,0.0,0.0,0.0,818869e624ea,False,
D_n075_040_a25_118,D,1820.0,1828,TIERS_EXHAUSTED,6,1937.9,1820.0,1828,TIERS_EXHAUSTED,4,1328.8,0.0,0.0,0.0,818869e624ea,False,
ED_n080_045_a75_135,ED,2931.0,2942,TIERS_EXHAUSTED,5,1679.9,2933.0,2942,TIERS_EXHAUSTED,5,1680.4,-2.0,-0.067981,0.067981,818869e624ea,False,
ED_n075_040_a75_120,ED,2730.0,2740,TIERS_EXHAUSTED,5,1656.1,2737.0,2740,TIERS_EXHAUSTED,10,3277.1,-7.0,-0.255474,0.255474,818869e624ea,False,
ED_n070_032_a50_095,ED,1866.0,1877,TIERS_EXHAUSTED,6,1847.4,1865.0,1877,TIERS_EXHAUSTED,4,1244.7,1.0,0.053305,0.053305,818869e624ea,False,
EB_n150_026_a25_076,EB,2550.0,2560,TIERS_EXHAUSTED,4,1340.6,2550.0,2560,TIERS_EXHAUSTED,4,1342.6,0.0,0.0,0.0,818869e624ea,False,
ED_n080_042_a25_124,ED,1305.0,1305,UB,1,188.5,1305.0,1305,UB,1,156.6,0.0,0.0,0.0,818869e624ea,False,
D_n080_045_a25_133,D,1910.0,1923,TIERS_EXHAUSTED,6,1948.9,1892.0,1915,TIERS_EXHAUSTED,8,2542.9,18.0,0.942408,0.942408,818869e624ea,False,
EB_n130_017_a50_050,EB,4422.0,4446,TIERS_EXHAUSTED,6,1980.1,4421.0,4446,TIERS_EXHAUSTED,4,1330.5,1.0,0.022507,0.022507,818869e624ea,False,
EB_n150_027_a25_079,EB,2771.0,2792,TIERS_EXHAUSTED,4,1323.0,2771.0,2792,TIERS_EXHAUSTED,4,1325.6,0.0,0.0,0.0,818869e624ea,False,
EB_n140_022_a50_065,EB,4899.0,4925,TIERS_EXHAUSTED,4,1335.7,4900.0,4925,TIERS_EXHAUSTED,4,1328.7,-1.0,-0.020317,0.020317,818869e624ea,False,
ED_n075_040_a25_118,ED,1588.0,1595,TIERS_EXHAUSTED,4,1288.7,1588.0,1595,TIERS_EXHAUSTED,5,1585.0,0.0,0.0,0.0,818869e624ea,False,
ED_n080_045_a25_133,ED,1681.0,1685,TIERS_EXHAUSTED,7,2271.5,1681.0,1687,TIERS_EXHAUSTED,4,1291.4,0.0,0.0,0.0,818869e624ea,False,
ED_n065_027_a75_081,ED,1971.0,1983,TIERS_EXHAUSTED,7,2165.5,1972.0,1982,TIERS_EXHAUSTED,5,1545.2,-1.0,-0.050454,0.050454,818869e624ea,False,
ED_n075_039_a50_116,ED,3049.0,3051,RT_CAP,12,3643.1,3050.0,3051,TIERS_EXHAUSTED,7,2171.2,-1.0,-0.032776,0.032776,818869e624ea,False,
