instance,family,seed,iters,obj_adaptive,obj_frozen,delta,s_adaptive,s_frozen,d_weights_adaptive,r_weights_adaptive,d_usage_adaptive,r_usage_adaptive,d_usage_frozen,r_usage_frozen,acc_worse_adaptive,acc_worse_frozen,isolation_leak,error
ED_n080_042_a25_124,ED,42,60,1264.0,1264.0,0.0,22.97,21.28,"[1.97, 3.8118, 2.6571]","[3.7231, 3.28, 2.3455, 2.0235]","[23, 21, 16]","[15, 13, 14, 18]","[24, 19, 17]","[15, 11, 14, 20]",39,38,,
ED_n080_042_a25_124,ED,123,60,1264.0,1264.0,0.0,26.11,23.24,"[2.9714, 3.5647, 2.9077]","[3.5273, 3.2286, 3.0833, 2.8429]","[26, 18, 16]","[12, 15, 15, 18]","[25, 20, 15]","[12, 16, 14, 18]",45,46,,
D_n065_030_a50_089,D,42,60,2336.0,2336.0,0.0,116.68,137.59,"[3.08, 3.8857, 2.9412]","[3.7375, 3.2909, 3.1765, 2.2857]","[22, 16, 22]","[18, 14, 19, 9]","[22, 16, 22]","[18, 13, 20, 9]",48,48,,
D_n065_030_a50_089,D,123,60,2337.0,2337.0,0.0,101.53,114.5,"[3.8154, 3.6353, 3.3429]","[3.8444, 3.4, 3.3143, 3.5556]","[19, 18, 23]","[19, 11, 15, 15]","[19, 18, 23]","[19, 11, 15, 15]",52,52,,
D_n080_044_a50_131,D,42,60,3161.0,3161.0,0.0,162.47,186.15,"[2.2444, 3.7375, 3.2588]","[3.61, 3.7077, 1.6667, 2.1]","[19, 22, 19]","[26, 16, 6, 12]","[20, 19, 21]","[24, 16, 8, 12]",44,42,,
D_n080_044_a50_131,D,123,60,3160.0,3160.0,0.0,223.76,197.68,"[3.09, 3.32, 3.25]","[4.0, 3.1636, 2.8571, 2.6353]","[23, 17, 20]","[17, 13, 11, 19]","[23, 18, 19]","[16, 12, 11, 21]",43,43,,
