instance,family,n,alpha,group_id,bks,master_obj,master_rt_s,master_cert_gap_pct,master_status,beta_obj,beta_ub,beta_gap_pct,beta_ec_gain,beta_phases,beta_stop_reason,beta_total_rt_s,beta_raw_ub,beta_num_ub_refreshes,beta_num_lag_iters,beta_no_refresh,beta_vs_master,beta_vs_bks,beta_status
D_n075_036_a25_106,D,75,0.25,036,,1378.0,1084.0,0.941701,NA,1378.0,1391,0.9346,0,3,TIERS_EXHAUSTED,912.2,1391.0000,0,0,1,0.0,,NA
EB_n140_022_a25_064,EB,140,0.25,022,2767.0,2766.0,1027.0,1.01986,GAP,2767.0,2794,0.9664,0,3,TIERS_EXHAUSTED,906.1,2794.0000,0,0,1,1.0,0.0,TIE
ED_n065_030_a25_088,ED,65,0.25,030,,1478.0,1018.0,1.117281,NA,1478.0,1494,1.0710,0,3,TIERS_EXHAUSTED,914.3,1494.0000,0,0,1,0.0,,NA
EB_n150_027_a25_079,EB,150,0.25,027,,2770.0,990.0,1.060828,NA,2771.0,2799,1.0004,0,3,TIERS_EXHAUSTED,906.9,2799.0000,0,0,1,1.0,,NA
ED_n080_042_a25_124,ED,80,0.25,042,,1305.0,990.0,1.128873,NA,1305.0,1319,1.0614,0,3,TIERS_EXHAUSTED,912.3,1319.0000,0,0,1,0.0,,NA
ED_n070_032_a50_095,ED,70,0.5,032,,1866.0,956.0,0.623103,NA,1867.0,1877,0.5328,0,3,TIERS_EXHAUSTED,936.8,1877.0000,0,0,1,1.0,,NA
D_n060_022_a50_065,D,60,0.5,022,1778.0,1777.0,944.0,0.914464,GAP,1777.0,1793,0.8924,0,3,TIERS_EXHAUSTED,934.0,1793.0000,0,0,1,0.0,-1.0,GAP
D_n070_035_a25_103,D,70,0.25,035,,1701.0,944.0,1.116149,NA,1701.0,1720,1.1047,0,3,TIERS_EXHAUSTED,935.5,1720.0000,0,0,1,0.0,,NA
EC_n065_017_a50_050,EC,65,0.5,017,1900.0,1900.0,898.0,0.596421,TIE,1900.0,1911,0.5756,0,3,TIERS_EXHAUSTED,910.0,1911.0000,0,0,1,0.0,0.0,TIE
ED_n065_027_a50_080,ED,65,0.5,027,1747.0,1747.0,898.0,1.154238,TIE,1747.0,1767,1.1319,0,3,TIERS_EXHAUSTED,923.2,1767.0000,0,0,1,0.0,0.0,TIE
EB_n150_026_a25_076,EB,150,0.25,026,2550.0,2550.0,890.0,0.747314,TIE,2550.0,2569,0.7396,0,3,TIERS_EXHAUSTED,904.5,2569.0000,0,0,1,0.0,0.0,TIE
ED_n075_037_a25_109,ED,75,0.25,037,,1273.0,794.0,0.933852,NA,1273.0,1285,0.9339,0,3,TIERS_EXHAUSTED,903.9,1285.0000,0,0,1,0.0,,NA
ED_n060_022_a50_065,ED,60,0.5,022,1728.0,1737.0,775.0,1.764506,BEAT,1737.0,1768,1.7534,0,3,TIERS_EXHAUSTED,919.8,1768.0000,0,0,1,0.0,9.0,BEAT
EC_n080_033_a25_097,EC,80,0.25,033,,1806.0,773.0,0.430036,NA,1806.0,1813,0.3861,0,3,TIERS_EXHAUSTED,905.6,1813.0000,0,0,1,0.0,,NA
ED_n050_014_a50_041,ED,50,0.5,014,1787.0,1787.0,767.0,1.139633,TIE,1787.0,1807,1.1068,0,3,TIERS_EXHAUSTED,915.0,1807.0000,0,0,1,0.0,0.0,TIE
EB_n130_017_a50_050,EB,130,0.5,017,4402.0,4420.0,704.0,1.37671,BEAT,4421.0,4481,1.3390,0,3,TIERS_EXHAUSTED,916.5,4481.0000,0,0,1,1.0,19.0,BEAT
ED_n065_027_a75_081,ED,65,0.75,027,1972.0,1972.0,718.0,0.714933,TIE,1972.0,1986,0.7049,0,3,TIERS_EXHAUSTED,977.1,1986.0000,0,0,1,0.0,0.0,TIE
C_n070_022_a50_065,C,70,0.5,022,,2052.0,698.0,1.203659,NA,2052.0,2077,1.2037,0,3,TIERS_EXHAUSTED,915.5,2077.0000,0,0,1,0.0,,NA
B_n120_012_a25_034,B,120,0.25,012,2871.0,2871.0,633.0,0.485269,TIE,2871.0,2885,0.4853,0,3,TIERS_EXHAUSTED,906.0,2885.0000,0,0,1,0.0,0.0,TIE
B_n120_014_a25_040,B,120,0.25,014,3242.0,3242.0,586.0,1.581616,TIE,3242.0,3294,1.5786,0,3,TIERS_EXHAUSTED,903.3,3294.0000,0,0,1,0.0,0.0,TIE
ED_n065_029_a25_085,ED,65,0.25,029,,1343.0,577.0,1.235476,NA,1343.0,1359,1.1773,0,3,TIERS_EXHAUSTED,903.2,1359.0000,0,0,1,0.0,,NA
B_n120_011_a25_031,B,120,0.25,011,2526.0,2526.0,560.0,1.796128,TIE,2526.0,2572,1.7885,0,3,TIERS_EXHAUSTED,904.4,2572.0000,0,0,1,0.0,0.0,TIE
ED_n060_022_a75_066,ED,60,0.75,022,1944.0,1944.0,559.0,0.613497,TIE,1944.0,1956,0.6135,0,3,TIERS_EXHAUSTED,938.6,1956.0000,0,0,1,0.0,0.0,TIE
EC_n070_023_a50_068,EC,70,0.5,023,2206.0,2206.0,532.0,0.545512,TIE,2206.0,2218,0.5410,0,3,TIERS_EXHAUSTED,914.7,2218.0000,0,0,1,0.0,0.0,TIE
C_n070_023_a25_067,C,70,0.25,023,1628.0,1628.0,520.0,0.324496,TIE,1628.0,1633,0.3062,0,3,TIERS_EXHAUSTED,903.5,1633.0000,0,0,1,0.0,0.0,TIE
D_n055_019_a25_055,D,55,0.25,019,1147.0,1147.0,513.0,1.256887,TIE,1147.0,1161,1.2059,0,3,TIERS_EXHAUSTED,902.7,1161.0000,0,0,1,0.0,0.0,TIE
ED_n060_024_a25_070,ED,60,0.25,024,1253.0,1253.0,507.0,1.104972,TIE,1253.0,1267,1.1050,0,3,TIERS_EXHAUSTED,902.4,1267.0000,0,0,1,0.0,0.0,TIE
ED_n065_028_a25_082,ED,65,0.25,028,,1152.0,497.0,0.466563,NA,1152.0,1157,0.4322,0,3,TIERS_EXHAUSTED,902.0,1157.0000,0,0,1,0.0,,NA
EB_n120_014_a25_040,EB,120,0.25,014,2707.0,2707.0,469.0,0.864279,TIE,2707.0,2730,0.8425,0,3,TIERS_EXHAUSTED,903.2,2730.0000,0,0,1,0.0,0.0,TIE
B_n130_017_a25_049,B,130,0.25,017,3062.0,3061.0,462.0,0.409943,GAP,3062.0,3073,0.3580,0,3,TIERS_EXHAUSTED,909.6,3073.0000,0,0,1,1.0,0.0,TIE
D_n065_030_a25_088,D,65,0.25,030,,1698.0,435.0,0.811963,NA,1698.0,1711,0.7598,0,3,TIERS_EXHAUSTED,934.9,1711.0000,0,0,1,0.0,,NA
EC_n075_030_a50_089,EC,75,0.5,030,,2456.0,412.0,0.437814,NA,2456.0,2466,0.4055,0,3,TIERS_EXHAUSTED,918.3,2466.0000,0,0,1,0.0,,NA
B_n130_019_a25_055,B,130,0.25,019,3359.0,3359.0,401.0,1.521593,TIE,3359.0,3410,1.4956,0,3,TIERS_EXHAUSTED,905.5,3410.0000,0,0,1,0.0,0.0,TIE
B_n110_006_a25_016,B,110,0.25,006,2434.0,2434.0,374.0,1.577032,TIE,2434.0,2473,1.5770,0,3,TIERS_EXHAUSTED,904.4,2473.0000,0,0,1,0.0,0.0,TIE
EC_n070_023_a25_067,EC,70,0.25,023,1496.0,1496.0,347.0,0.465735,TIE,1496.0,1503,0.4657,0,3,TIERS_EXHAUSTED,901.6,1503.0000,0,0,1,0.0,0.0,TIE
EC_n075_028_a25_082,EC,75,0.25,028,,1697.0,322.0,0.404953,NA,1697.0,1703,0.3523,0,3,TIERS_EXHAUSTED,902.5,1703.0000,0,0,1,0.0,,NA
B_n130_016_a25_046,B,130,0.25,016,2744.0,2744.0,311.0,1.8598,TIE,2744.0,2796,1.8598,0,3,TIERS_EXHAUSTED,902.9,2796.0000,0,0,1,0.0,0.0,TIE
D_n065_028_a25_082,D,65,0.25,028,,1383.0,266.0,0.374586,NA,1383.0,1388,0.3602,0,3,TIERS_EXHAUSTED,904.3,1388.0000,0,0,1,0.0,,NA
EB_n130_019_a25_055,EB,130,0.25,019,2807.0,2807.0,266.0,0.689899,TIE,2807.0,2826,0.6723,0,3,TIERS_EXHAUSTED,902.3,2826.0000,0,0,1,0.0,0.0,TIE
ED_n040_004_a50_011,ED,40,0.5,004,1154.0,1154.0,210.0,1.207088,TIE,1154.0,1168,1.1986,0,3,TIERS_EXHAUSTED,900.9,1168.0000,0,0,1,0.0,0.0,TIE
