instance,family,incumbent,greedy,init_ub,init_raw,init_iters,refined_ub,refined_raw,refine_iters,refine_converged,final_ub,binding,final_gap_pct,cert_path,solve_s,error
B_n110_009_a50_026,B,4524.0,4490.0,4544,4544.57787,200,4524,4524.0,3000,0,4524,refined,0.0,results/certificates/B_n110_009_a50_026.pkl,33.1,
B_n110_009_a75_027,B,4696.0,4695.0,4696,4696.202413,200,4696,4696.0,3000,0,4696,initial,0.0,results/certificates/B_n110_009_a75_027.pkl,40.4,
B_n110_010_a25_028,B,2549.0,2438.0,2556,2556.0,200,2549,2549.0,3000,0,2549,refined,0.0,results/certificates/B_n110_010_a25_028.pkl,28.9,
B_n110_010_a50_029,B,3674.0,3662.0,3680,3680.092282,200,3674,3674.0,3000,0,3674,refined,0.0,results/certificates/B_n110_010_a50_029.pkl,29.8,
B_n110_010_a75_030,B,3853.0,3841.0,3854,3854.286774,200,3853,3853.0,3000,0,3853,refined,0.0,results/certificates/B_n110_010_a75_030.pkl,33.1,
B_n120_011_a25_031,B,2526.0,2502.0,2605,2605.989379,200,2566,2566.359978,3000,0,2566,refined,1.558846453624318,results/certificates/B_n120_011_a25_031.pkl,381.5,
B_n120_011_a50_032,B,3899.0,3894.0,3929,3929.076562,200,3899,3899.0,3000,0,3899,refined,0.0,results/certificates/B_n120_011_a50_032.pkl,385.3,
B_n120_011_a75_033,B,4074.0,4070.0,4075,4075.310463,200,4074,4074.0,3000,0,4074,refined,0.0,results/certificates/B_n120_011_a75_033.pkl,398.1,
B_n120_012_a25_034,B,2871.0,2729.0,2944,2944.0,200,2881,2881.437288,3000,0,2881,refined,0.3471017007983339,results/certificates/B_n120_012_a25_034.pkl,93.5,
B_n120_012_a50_035,B,4182.0,4179.0,4182,4182.800355,200,4182,4182.0,3000,0,4182,initial,0.0,results/certificates/B_n120_012_a50_035.pkl,117.8,
B_n120_012_a75_036,B,4222.0,4221.0,4222,4222.0,200,4222,4222.0,3000,0,4222,initial,0.0,results/certificates/B_n120_012_a75_036.pkl,210.8,
B_n120_013_a25_037,B,2942.0,2930.0,2966,2966.336838,200,2945,2945.584845,3000,0,2945,refined,0.10186757215619693,results/certificates/B_n120_013_a25_037.pkl,80.0,
B_n120_013_a50_038,B,4064.0,4020.0,4073,4073.353736,200,4064,4064.0,3000,0,4064,refined,0.0,results/certificates/B_n120_013_a50_038.pkl,76.9,
B_n120_013_a75_039,B,4147.0,4130.0,4148,4148.632077,200,4147,4147.0,3000,0,4147,refined,0.0,results/certificates/B_n120_013_a75_039.pkl,89.4,
B_n120_014_a25_040,B,3242.0,2992.0,3338,3338.5,200,3287,3287.327927,3000,0,3287,refined,1.369029510191664,results/certificates/B_n120_014_a25_040.pkl,77.3,
B_n120_014_a50_041,B,4855.0,4830.0,4859,4859.797722,200,4855,4855.0,3000,0,4855,refined,0.0,results/certificates/B_n120_014_a50_041.pkl,86.8,
B_n120_014_a75_042,B,5038.0,5036.0,5038,5038.186506,200,5038,5038.0,3000,0,5038,initial,0.0,results/certificates/B_n120_014_a75_042.pkl,92.6,
B_n120_015_a25_043,B,2579.0,2458.0,2619,2619.0,200,2579,2579.00002,3000,0,2579,refined,0.0,results/certificates/B_n120_015_a25_043.pkl,55.8,
B_n120_015_a50_044,B,4004.0,3991.0,4005,4005.612883,200,4004,4004.0,3000,0,4004,refined,0.0,results/certificates/B_n120_015_a50_044.pkl,58.5,
B_n120_015_a75_045,B,4282.0,4277.0,4282,4282.701892,200,4282,4282.0,3000,0,4282,initial,0.0,results/certificates/B_n120_015_a75_045.pkl,60.5,
B_n130_016_a25_046,B,2744.0,2720.0,2820,2820.6361,200,2789,2789.50426,3000,0,2789,refined,1.6134815346002152,results/certificates/B_n130_016_a25_046.pkl,463.5,
B_n130_016_a50_047,B,4156.0,4132.0,4180,4180.778397,200,4157,4157.035878,3000,0,4157,refined,0.024055809477988934,results/certificates/B_n130_016_a50_047.pkl,410.6,
B_n130_016_a75_048,B,4333.0,4329.0,4334,4334.769623,200,4334,4334.020225,3000,0,4334,initial,0.023073373327180433,results/certificates/B_n130_016_a75_048.pkl,476.7,
B_n130_017_a25_049,B,3062.0,2899.0,3128,3128.5,200,3072,3072.211362,3000,0,3072,refined,0.32552083333333337,results/certificates/B_n130_017_a25_049.pkl,183.2,
B_n130_017_a50_050,B,4594.0,4589.0,4596,4596.002682,200,4595,4595.014976,3000,0,4595,refined,0.02176278563656148,results/certificates/B_n130_017_a50_050.pkl,241.8,
B_n130_017_a75_051,B,4646.0,4644.0,4646,4646.0,200,4646,4646.0,3000,0,4646,initial,0.0,results/certificates/B_n130_017_a75_051.pkl,449.4,
B_n130_018_a25_052,B,3192.0,3081.0,3218,3218.0,200,3196,3196.678434,3000,0,3196,refined,0.1251564455569462,results/certificates/B_n130_018_a25_052.pkl,91.8,
B_n130_018_a50_053,B,4497.0,4451.0,4501,4501.134897,200,4497,4497.0,3000,0,4497,refined,0.0,results/certificates/B_n130_018_a50_053.pkl,138.0,
B_n130_018_a75_054,B,4578.0,4574.0,4578,4578.885527,200,4578,4578.0,3000,0,4578,initial,0.0,results/certificates/B_n130_018_a75_054.pkl,154.9,
B_n130_019_a25_055,B,3359.0,3109.0,3452,3452.0,200,3404,3404.040919,3000,0,3404,refined,1.3219741480611047,results/certificates/B_n130_019_a25_055.pkl,76.6,
B_n130_019_a50_056,B,5093.0,5049.0,5103,5103.573453,200,5093,5093.507924,3000,0,5093,refined,0.0,results/certificates/B_n130_019_a50_056.pkl,96.5,
