instance,family,n,alpha,phase,tier,obj,ub,stall_run,obj_improved,gap_pct,seeds,alns_iters,n_new_best,n_improve,n_accept_worse,d_weights,r_weights,d_weights_best,r_weights_best,d_usage,r_usage,seed_list,seed_iters,best_seed,n_best_events,first_best_s,last_best_s,lag_s,phase_rt,cumul_rt,event
B_n120_014_a25_040,B,120,0.25,1,0,3242.0,3294,0,1,1.5786278081360048,4,1840,6,97,911,"[5.0153, 5.7692, 5.4081]","[6.8769, 6.485, 3.4493, 3.7644]","[6.5888, 9.4436, 7.1246]","[9.346, 9.6461, 5.8726, 5.8486]","[551, 713, 575]","[560, 554, 367, 358]","[42, 123, 456, 789]","[500, 500, 500, 340]",42,6,0.87,30.97,0.0,300.048944799928,300.04896849999204,OBJ+250 tier->0
B_n120_014_a25_040,B,120,0.25,2,1,3242.0,3333,1,0,2.7302730273027302,4,1809,0,76,766,"[4.8524, 6.0273, 4.6244]","[5.5663, 7.0785, 2.8763, 3.6215]",,,"[534, 660, 614]","[562, 606, 319, 321]","[42, 123, 456, 789]","[500, 500, 500, 309]",,0,,,3.33,300.83278249995783,604.2132229001727,STALL→tier0→1 d_max=14
B_n110_006_a25_016,B,110,0.25,1,0,2434.0,2473,0,1,1.5770319450060657,6,2757,7,98,1653,"[4.7234, 8.6788, 5.2243]","[7.8207, 7.0743, 5.0073, 5.1861]","[7.9678, 11.6262, 9.223]","[10.7216, 10.8959, 7.6058, 8.9862]","[822, 1114, 820]","[891, 761, 543, 561]","[42, 123, 456, 789, 1337, 2024]","[500, 500, 500, 500, 500, 257]",42,7,1.61,21.56,0.0,300.02157889981754,300.0215960999485,OBJ+143 tier->0
B_n110_006_a25_016,B,110,0.25,2,1,2434.0,2477,1,0,1.7359709325797335,5,2391,0,80,1174,"[4.5597, 7.5231, 4.4855]","[6.8059, 7.1846, 2.5143, 4.169]",,,"[687, 964, 739]","[713, 736, 462, 479]","[42, 123, 456, 789, 1337]","[500, 500, 500, 500, 391]",,0,,,7.77,300.426103600068,608.2200608998537,STALL→tier0→1 d_max=12
B_n120_012_a25_034,B,120,0.25,1,0,2871.0,2885,0,1,0.48526863084922006,3,1486,7,56,792,"[3.7051, 5.1106, 4.2447]","[5.5894, 5.5911, 2.3583, 2.9712]","[5.6843, 11.2487, 8.4655]","[10.7729, 10.4054, 7.1645, 8.3791]","[435, 592, 458]","[438, 415, 330, 302]","[42, 123, 456]","[500, 500, 486]",42,7,0.38,45.55,0.0,301.1640620001126,301.1640834999271,OBJ+142 tier->0
B_n120_012_a25_034,B,120,0.25,2,1,2871.0,2900,1,0,1.0,3,1455,0,52,645,"[3.7719, 5.2134, 4.3605]","[6.2391, 5.3084, 3.2, 1.8502]",,,"[366, 613, 475]","[482, 422, 269, 281]","[42, 123, 456]","[500, 500, 455]",,0,,,8.81,300.78910950012505,610.7617895000149,STALL→tier0→1 d_max=15
B_n120_011_a25_031,B,120,0.25,1,0,2526.0,2572,0,1,1.7884914463452566,5,2152,5,110,1164,"[5.153, 6.912, 6.1546]","[7.1075, 6.9155, 4.7021, 4.7122]","[5.3247, 8.5852, 5.9887]","[9.3083, 6.5854, 5.8348, 4.595]","[633, 852, 666]","[708, 647, 420, 376]","[42, 123, 456, 789, 1337]","[500, 500, 500, 500, 152]",42,5,0.03,52.16,0.0,300.16185569996014,300.1618860999588,OBJ+24 tier->0
B_n120_011_a25_031,B,120,0.25,2,1,2526.0,2597,1,0,2.7339237581825184,4,1972,0,120,885,"[3.9666, 7.3818, 5.0329]","[8.6103, 5.1828, 3.5772, 3.7015]",,,"[594, 773, 604]","[658, 538, 391, 384]","[42, 123, 456, 789]","[500, 500, 500, 472]",,0,,,15.43,300.0088446000591,615.6025632000528,STALL→tier0→1 d_max=12
