instance,family,z,published_ub,fresh_raw,fresh_ub,verdict,iterations,converged,secs,error
C_n080_033_a75_099,C,2803.0,2803.0,2803.000000000456,2803,CONFIRMED,3000,0,113.0,
D_n065_028_a75_084,D,2146.0,2146.0,2147.0,2147,UNCONFIRMED,57,1,1.2,
D_n060_025_a50_074,D,2114.0,2114.0,2114.0000000036266,2114,CONFIRMED,3000,0,46.2,
D_n065_030_a75_090,D,2507.0,2507.0,2507.000000000001,2507,CONFIRMED,22,1,1.3,
D_n060_024_a75_072,D,2387.0,2387.0,2387.0000000200002,2387,CONFIRMED,3000,0,62.5,
D_n065_026_a50_077,D,1848.0,1848.0,1848.0000050945534,1848,CONFIRMED,3000,0,52.0,
D_n065_026_a75_078,D,1902.0,1902.0,1902.0000000059642,1902,CONFIRMED,3000,0,56.5,
D_n060_025_a75_075,D,2269.0,2269.0,2269.000000029896,2269,CONFIRMED,3000,0,78.0,
D_n070_035_a75_105,D,2529.0,2529.0,2529.9999999999995,2530,UNCONFIRMED,7,1,0.5,
D_n065_029_a75_087,D,2598.0,2598.0,2598.000000047721,2598,CONFIRMED,3000,0,66.5,
D_n070_033_a50_098,D,2301.0,2301.0,2301.000000001903,2301,CONFIRMED,3000,0,70.4,
D_n070_034_a25_100,D,1845.0,1845.0,1845.0000000016294,1845,CONFIRMED,3000,0,56.9,
D_n070_031_a25_091,D,1276.0,1276.0,1276.5136548251292,1276,CONFIRMED,3000,0,93.5,
D_n070_033_a75_099,D,2351.0,2351.0,2351.0000000481145,2351,CONFIRMED,3000,0,105.1,
EB_n110_010_a50_029,EB,3639.0,3639.0,3639.0000000008326,3639,CONFIRMED,3000,0,27.9,
D_n075_038_a50_113,D,2522.0,2522.0,2522.0000000505074,2522,CONFIRMED,3000,0,101.3,
D_n075_038_a75_114,D,2579.0,2579.0,2579.000000020771,2579,CONFIRMED,3000,0,111.4,
EB_n120_014_a50_041,EB,4549.0,4549.0,4549.000000006723,4549,CONFIRMED,3000,0,59.2,
D_n075_039_a75_117,D,3114.0,3114.0,3114.0000000024093,3114,CONFIRMED,3000,0,124.3,
EC_n050_001_a25_001,EC,421.0,421.0,421.00000000090506,421,CONFIRMED,3000,0,4.9,
EC_n050_001_a50_002,EC,1103.0,1103.0,1103.0000004999658,1103,CONFIRMED,3000,0,5.7,
EC_n050_002_a25_004,EC,355.0,355.0,355.0000000000001,355,CONFIRMED,63,1,0.1,
EC_n050_002_a50_005,EC,1136.0,1136.0,1136.0000000035725,1136,CONFIRMED,3000,0,4.3,
EC_n050_002_a75_006,EC,1482.0,1482.0,1482.3416233265511,1482,CONFIRMED,3000,0,4.3,
EC_n050_003_a25_007,EC,773.0,773.0,773.0000000043684,773,CONFIRMED,3000,0,7.6,
EC_n050_003_a75_009,EC,1584.0,1584.0,1583.9999999999995,1584,CONFIRMED,64,1,0.2,
D_n080_043_a75_129,D,2800.0,2800.0,2800.0000000204304,2800,CONFIRMED,3000,0,150.5,
EC_n050_004_a25_010,EC,844.0,844.0,844.0000000016701,844,CONFIRMED,3000,0,5.0,
EC_n050_004_a75_012,EC,2060.0,2060.0,2060.0000000008854,2060,CONFIRMED,3000,0,5.1,
EC_n050_005_a25_013,EC,826.0,826.0,826.0000000007025,826,CONFIRMED,3000,0,6.0,
EC_n050_005_a50_014,EC,1581.0,1581.0,1581.0000000017835,1581,CONFIRMED,3000,0,4.8,
EC_n060_011_a50_032,EC,1662.0,1662.0,1662.0000000000002,1662,CONFIRMED,517,1,1.9,
EC_n060_012_a50_035,EC,1710.0,1710.0,1709.9999999999998,1710,CONFIRMED,55,1,0.4,
EC_n050_005_a75_015,EC,1727.0,1727.0,1727.0000000101836,1727,CONFIRMED,3000,0,5.8,
EC_n060_013_a75_039,EC,2017.0,2017.0,2017.0000000000007,2017,CONFIRMED,29,1,0.2,
EB_n140_025_a25_073,EB,2753.0,2753.0,2753.0000000030204,2753,CONFIRMED,3000,0,96.7,
EC_n060_015_a50_044,EC,2102.0,2102.0,2102.0000000013306,2102,CONFIRMED,3000,0,7.5,
EC_n060_012_a75_036,EC,1757.0,1757.0,1757.0000000260331,1757,CONFIRMED,3000,0,18.9,
EC_n065_016_a25_046,EC,867.0,867.0,867.6784511895181,867,CONFIRMED,3000,0,17.7,
EC_n065_017_a25_049,EC,993.0,993.0,993.0000000004846,993,CONFIRMED,3000,0,17.0,
EC_n070_024_a25_070,EC,1671.0,1671.0,1670.9999999999993,1671,CONFIRMED,549,1,3.4,
EC_n065_019_a25_055,EC,1372.0,1372.0,1372.0000000006596,1372,CONFIRMED,3000,0,11.6,
EC_n065_019_a50_056,EC,2352.0,2352.0,2352.000000154163,2352,CONFIRMED,3000,0,11.8,
EB_n140_025_a75_075,EB,4940.0,4940.0,4940.00000001069,4940,CONFIRMED,3000,0,124.0,
EC_n075_029_a25_085,EC,1755.0,1755.0,1755.0000004225938,1755,CONFIRMED,3000,0,29.7,
EC_n075_030_a25_088,EC,1484.0,1484.0,1484.000001530245,1484,CONFIRMED,3000,0,46.2,
EC_n075_030_a75_090,EC,2720.0,2720.0,2720.000000013102,2720,CONFIRMED,3000,0,31.2,
EC_n080_034_a25_100,EC,1858.0,1858.0,1858.0000000009106,1858,CONFIRMED,3000,0,37.8,
