instance,family,n,alpha,group_id,bks,bpc_oa_gap_pct,bpc_n_solved,bpc_group_count,bpc_class,bpc_class_label,bpc_note,master_obj,master_cert_gap_pct,master_rt_s,master_status,alns_obj,alns_runtime_s,best_ub,final_cert_gap_pct,alns_lag_proven_optimal,beta_stop_reason,beta_phases,beta_ec_gain,beta_vs_bks,beta_status,beta_vs_master,baseline_ub,baseline_cert_gap_pct,refine_s,refined_source,selfseed_ub,selfseed_gap_pct,selfseed_refine_s
B_n110_008_a25_022,B,110,0.25,008,2531,0.0,4,5,1,optimal,WARNING: bpc_n_solved=4 < group_count=5; 1 instance(s) may be Class 3 (no_incumbent),2531,0.197161,664.0,TIE,2531.0,642.5,2531,0.0000,1,GAP<0.3%,2,0,0.0,TIE,0.0,2535,0.1578,41.5,refined,2531,0.0000,
B_n110_008_a50_023,B,110,0.5,008,3700,0.0,5,5,1,optimal,,3700,0.018915,825.0,TIE,3700.0,0.7,3700,0.0000,True,UB,1,0,0.0,TIE,0.0,3700,0.0000,,baseline,3700,0.0000,
B_n110_008_a75_024,B,110,0.75,008,3808,0.0,5,5,1,optimal,,3808,0.002626,1092.0,TIE,3808.0,0.8,3808,0.0000,True,UB,1,0,0.0,TIE,0.0,3808,0.0000,,baseline,3808,0.0000,
B_n110_009_a25_025,B,110,0.25,009,3221,0.0,4,5,1,optimal,WARNING: bpc_n_solved=4 < group_count=5; 1 instance(s) may be Class 3 (no_incumbent),3221,0.179745,568.0,TIE,3221.0,631.2,3221,0.0000,1,GAP<0.3%,2,0,0.0,TIE,0.0,3226,0.1550,30.4,refined,3221,0.0000,
B_n110_009_a50_026,B,110,0.5,009,4524,0.0,5,5,1,optimal,,4524,0.745941,779.0,TIE,4524.0,631.4,4524,0.0000,1,GAP<0.3%,2,0,0.0,TIE,0.0,4526,0.0442,29.5,refined,4524,0.0000,
B_n110_009_a75_027,B,110,0.75,009,4696,0.0,5,5,1,optimal,,4696,0.0,1204.0,TIE,4696.0,0.5,4696,0.0000,True,UB,1,0,0.0,TIE,0.0,4696,0.0000,,baseline,4696,0.0,
B_n110_010_a25_028,B,110,0.25,010,2549,0.0,4,5,1,optimal,WARNING: bpc_n_solved=4 < group_count=5; 1 instance(s) may be Class 3 (no_incumbent),2549,0.913508,459.0,TIE,2549.0,327.7,2549,0.0000,1,GAP<0.3%,1,0,0.0,TIE,0.0,2553,0.1567,27.2,refined,2549,0.0000,
B_n110_010_a50_029,B,110,0.5,010,3674,0.0,5,5,1,optimal,,3674,0.761709,962.0,TIE,3674.0,344.9,3674,0.0000,1,GAP<0.3%,1,0,0.0,TIE,0.0,3684,0.2714,43.2,refined,3674,0.0000,
B_n110_010_a75_030,B,110,0.75,010,3853,0.0,5,5,1,optimal,,3853,0.0,1233.0,TIE,3853.0,0.8,3853,0.0000,True,UB,1,0,0.0,TIE,0.0,3853,0.0000,,baseline,3853,0.0,25.7
B_n120_011_a25_031,B,120,0.25,011,2526,0.07,4,5,2,incumbent,WARNING: bpc_n_solved=4 < group_count=5; 1 instance(s) may be Class 3 (no_incumbent),2526,1.796128,560.0,TIE,2526.0,1271.7,2566,1.5588,0,TIERS_EXHAUSTED,3,0,0.0,TIE,0.0,2574,1.8648,366.3,refined,2566,1.5588,
