instance,family,obj,published_ub,published_gap_pct,lag_raw,lag_ub,new_ub,new_gap_pct,improved,iterations,converged,refine_s,error
ED_n060_022_a50_065,ED,1737.0,1766.0,1.6421,1765.0320877616487,1765,1765,1.5864022662889519,1,1000,0,9.0,
B_n120_014_a25_040,B,3242.0,3294.0,1.5786,3289.4886025014175,3289,3289,1.4290057768318638,1,1000,0,18.2,
B_n130_019_a25_055,B,3359.0,3410.0,1.4956,3405.6305997038335,3405,3405,1.3509544787077827,1,1000,0,22.4,
B_n110_006_a25_016,B,2434.0,2473.0,1.577,2470.1624627851443,2470,2470,1.45748987854251,1,1000,0,51.2,
ED_n065_027_a50_080,ED,1747.0,1766.0,1.0759,1764.9589448256932,1764,1764,0.9637188208616779,1,1000,0,13.3,
B_n140_024_a25_070,B,4264.0,4315.0,1.1819,4310.801441307959,4310,4310,1.0672853828306266,1,1000,0,37.4,
ED_n040_004_a50_011,ED,1154.0,1165.0,0.9442,1164.4699618868017,1164,1164,0.859106529209622,1,1000,0,1.6,
ED_n060_025_a50_074,ED,2014.0,2034.0,0.9833,2017.2890598072665,2017,2017,0.1487357461576599,1,1000,0,13.8,
B_n120_011_a25_031,B,2526.0,2574.0,1.8648,2567.6170642058555,2567,2567,1.597195169458512,1,1000,0,105.9,
B_n130_016_a25_046,B,2744.0,2799.0,1.965,2791.36439002733,2791,2791,1.683984235041204,1,1000,0,123.2,
B_n140_021_a25_061,B,3142.0,3195.0,1.6588,3189.1639586517067,3189,3189,1.473816243336469,1,1000,0,133.6,
B_n150_026_a25_076,B,3246.0,3307.0,1.8446,3299.3392544400776,3299,3299,1.6065474386177632,1,1000,0,134.4,
