instance,family,n,alpha,phase,tier,obj,ub,gap_pct,seeds,phase_rt,cumul_rt,event
B_n140_023_a25_067,B,140,0.25,1,1,3781.0,3805,0.6307490144546649,1,307.8136059999997,307.8136368000014,STALL→tier0→1 d_max=16
B_n140_023_a25_067,B,140,0.25,2,2,3781.0,3805,0.6307490144546649,1,303.38139129999763,611.1950574000002,STALL→tier1→2 d_max=21
B_n140_023_a25_067,B,140,0.25,3,3,3781.0,3805,0.6307490144546649,1,300.4718752000008,911.6669675000012,TIERS_EXHAUSTED
ED_n060_025_a50_074,ED,60,0.5,1,1,2014.0,2042,1.3712047012732616,1,300.3272361999989,300.32726150000235,STALL→tier0→1 d_max=10
ED_n060_025_a50_074,ED,60,0.5,2,2,2014.0,2042,1.3712047012732616,1,306.6089265999981,606.9362318000021,STALL→tier1→2 d_max=14
ED_n060_025_a50_074,ED,60,0.5,3,3,2014.0,2042,1.3712047012732616,1,306.9871501000016,913.9234315000031,TIERS_EXHAUSTED
EC_n080_035_a50_104,EC,80,0.5,1,1,2667.0,2678,0.4107542942494399,1,301.56729930000074,301.5673195999989,STALL→tier0→1 d_max=14
EC_n080_035_a50_104,EC,80,0.5,2,2,2667.0,2678,0.4107542942494399,1,300.04850459999943,601.6158518000011,STALL→tier1→2 d_max=19
EC_n080_035_a50_104,EC,80,0.5,3,3,2667.0,2678,0.4107542942494399,1,300.1078189,901.7237144999999,TIERS_EXHAUSTED
ED_n070_032_a75_096,ED,70,0.75,1,1,2083.0,2102,0.9039010466222646,1,300.23512520000077,300.23514790000263,STALL→tier0→1 d_max=14
ED_n070_032_a75_096,ED,70,0.75,2,2,2083.0,2102,0.9039010466222646,1,312.1545391999971,612.3897155000013,STALL→tier1→2 d_max=19
ED_n070_032_a75_096,ED,70,0.75,3,3,2083.0,2102,0.9039010466222646,1,301.2308497999984,913.6205933000019,TIERS_EXHAUSTED
D_n080_042_a25_124,D,80,0.25,1,1,1537.0,1556,1.2210796915167095,1,300.727753799998,300.72780209999837,STALL→tier0→1 d_max=8
D_n080_042_a25_124,D,80,0.25,2,2,1537.0,1556,1.2210796915167095,1,300.59067669999786,601.3185108999969,STALL→tier1→2 d_max=11
D_n080_042_a25_124,D,80,0.25,3,3,1537.0,1556,1.2210796915167095,1,308.1435870999994,909.4621530999975,TIERS_EXHAUSTED
D_n070_032_a75_096,D,70,0.75,1,1,2098.0,2108,0.47438330170777987,1,302.44684450000204,302.44688309999765,STALL→tier0→1 d_max=16
D_n070_032_a75_096,D,70,0.75,2,2,2098.0,2108,0.47438330170777987,1,304.3975251999982,606.8444387999989,STALL→tier1→2 d_max=21
D_n070_032_a75_096,D,70,0.75,3,3,2098.0,2108,0.47438330170777987,1,301.0723446000011,907.9168436999971,TIERS_EXHAUSTED
D_n075_040_a25_118,D,75,0.25,1,1,1820.0,1840,1.0869565217391304,1,300.52301369999986,300.52304699999877,STALL→tier0→1 d_max=9
D_n075_040_a25_118,D,75,0.25,2,2,1820.0,1840,1.0869565217391304,1,300.9853755000004,601.5084797999989,STALL→tier1→2 d_max=12
D_n075_040_a25_118,D,75,0.25,3,3,1820.0,1840,1.0869565217391304,1,305.55595999999787,907.0644802999996,TIERS_EXHAUSTED
B_n150_026_a25_076,B,150,0.25,1,1,3246.0,3308,1.8742442563482467,1,302.9363899000018,302.9364151000009,STALL→tier0→1 d_max=15
B_n150_026_a25_076,B,150,0.25,2,2,3246.0,3308,1.8742442563482467,1,301.6250595999991,604.5615064000012,STALL→tier1→2 d_max=20
B_n150_026_a25_076,B,150,0.25,3,3,3246.0,3308,1.8742442563482467,1,300.1401880000012,904.7017228000004,TIERS_EXHAUSTED
ED_n080_045_a25_133,ED,80,0.25,1,1,1681.0,1689,0.4736530491415038,1,300.33091910000076,300.3309584999988,STALL→tier0→1 d_max=8
ED_n080_045_a25_133,ED,80,0.25,2,2,1681.0,1689,0.4736530491415038,1,300.2132641999997,600.5442492999973,STALL→tier1→2 d_max=11
ED_n080_045_a25_133,ED,80,0.25,3,3,1681.0,1689,0.4736530491415038,1,300.05779209999673,900.6020745999995,TIERS_EXHAUSTED
D_n080_045_a25_133,D,80,0.25,1,1,1910.0,1933,1.189860320744956,1,303.19454380000025,303.19456720000017,STALL→tier0→1 d_max=9
D_n080_045_a25_133,D,80,0.25,2,2,1910.0,1933,1.189860320744956,1,300.7329239000028,603.9275411999988,STALL→tier1→2 d_max=12
D_n080_045_a25_133,D,80,0.25,3,3,1910.0,1933,1.189860320744956,1,307.1000564999995,911.0276286000008,TIERS_EXHAUSTED
D_n070_032_a25_094,D,70,0.25,1,1,1196.0,1212,1.3201320132013201,1,301.09902370000054,301.0990501000015,STALL→tier0→1 d_max=6
D_n070_032_a25_094,D,70,0.25,2,2,1196.0,1212,1.3201320132013201,1,302.2091139999975,603.3081927999992,STALL→tier1→2 d_max=8
D_n070_032_a25_094,D,70,0.25,3,3,1196.0,1212,1.3201320132013201,1,300.39502690000154,903.7042008999997,TIERS_EXHAUSTED
B_n140_021_a25_061,B,140,0.25,1,1,3142.0,3194,1.6280525986224168,2,300.45954469999924,300.45956659999865,STALL→tier0→1 d_max=13
B_n140_021_a25_061,B,140,0.25,2,2,3142.0,3194,1.6280525986224168,1,303.72468180000214,604.184276,STALL→tier1→2 d_max=18
B_n140_021_a25_061,B,140,0.25,3,3,3142.0,3194,1.6280525986224168,2,300.06554170000163,904.2498748999969,TIERS_EXHAUSTED
D_n065_030_a50_089,D,65,0.5,1,1,2337.0,2358,0.8905852417302799,1,301.0547994999979,301.0548372999983,STALL→tier0→1 d_max=12
D_n065_030_a50_089,D,65,0.5,2,2,2337.0,2358,0.8905852417302799,1,309.95400919999884,611.0089069999995,STALL→tier1→2 d_max=17
D_n065_030_a50_089,D,65,0.5,3,3,2337.0,2358,0.8905852417302799,1,302.0195144999998,913.0284814999977,TIERS_EXHAUSTED
ED_n075_040_a25_118,ED,75,0.25,1,1,1588.0,1602,0.8739076154806492,1,300.6444268999985,300.64444899999944,STALL→tier0→1 d_max=7
ED_n075_040_a25_118,ED,75,0.25,2,2,1588.0,1602,0.8739076154806492,1,304.58799779999754,605.2324809999991,STALL→tier1→2 d_max=10
ED_n075_040_a25_118,ED,75,0.25,3,3,1588.0,1602,0.8739076154806492,1,300.78115289999914,906.0136958999974,TIERS_EXHAUSTED
ED_n055_019_a50_056,ED,55,0.5,1,1,1897.0,1913,0.836382645060115,1,302.2077900000004,302.2078281000031,STALL→tier0→1 d_max=8
ED_n055_019_a50_056,ED,55,0.5,2,2,1897.0,1913,0.836382645060115,1,305.2222871999984,607.4301536000021,STALL→tier1→2 d_max=11
ED_n055_019_a50_056,ED,55,0.5,3,3,1897.0,1913,0.836382645060115,1,301.10553580000123,908.5357482,TIERS_EXHAUSTED
D_n070_032_a50_095,D,70,0.5,1,1,1908.0,1920,0.625,1,307.6682271000027,307.66827170000033,STALL→tier0→1 d_max=11
D_n070_032_a50_095,D,70,0.5,2,2,1908.0,1920,0.625,1,308.0268336000008,615.6951397000012,STALL→tier1→2 d_max=15
D_n070_032_a50_095,D,70,0.5,3,3,1908.0,1920,0.625,1,301.3957292999985,917.0909311000032,TIERS_EXHAUSTED
D_n075_036_a25_106,D,75,0.25,1,1,1378.0,1391,0.9345794392523363,1,300.0413665999986,300.0414037999981,STALL→tier0→1 d_max=7
D_n075_036_a25_106,D,75,0.25,2,2,1378.0,1391,0.9345794392523363,1,300.3431578999989,600.3845927999973,STALL→tier1→2 d_max=9
D_n075_036_a25_106,D,75,0.25,3,3,1378.0,1391,0.9345794392523363,1,300.0649685999997,900.449595099999,TIERS_EXHAUSTED
EB_n140_022_a25_064,EB,140,0.25,1,1,2767.0,2794,0.9663564781675018,2,301.52790620000087,301.5279302000017,STALL→tier0→1 d_max=12
EB_n140_022_a25_064,EB,140,0.25,2,2,2767.0,2794,0.9663564781675018,2,301.42819210000016,602.9561695000011,STALL→tier1→2 d_max=16
EB_n140_022_a25_064,EB,140,0.25,3,3,2767.0,2794,0.9663564781675018,2,301.3420836999976,904.2982867999999,TIERS_EXHAUSTED
ED_n065_030_a25_088,ED,65,0.25,1,1,1478.0,1494,1.07095046854083,1,300.19034009999814,300.19038510000246,STALL→tier0→1 d_max=7
ED_n065_030_a25_088,ED,65,0.25,2,2,1478.0,1494,1.07095046854083,1,300.2652098000035,600.4556416000014,STALL→tier1→2 d_max=9
ED_n065_030_a25_088,ED,65,0.25,3,3,1478.0,1494,1.07095046854083,1,300.7515893000018,901.2072613000018,TIERS_EXHAUSTED
EB_n150_027_a25_079,EB,150,0.25,1,1,2771.0,2799,1.0003572704537336,2,301.5344464000009,301.5344853000024,STALL→tier0→1 d_max=13
EB_n150_027_a25_079,EB,150,0.25,2,2,2771.0,2799,1.0003572704537336,2,301.1702667999998,602.7060025999999,STALL→tier1→2 d_max=17
EB_n150_027_a25_079,EB,150,0.25,3,3,2771.0,2799,1.0003572704537336,1,301.53958010000133,904.2456139999995,TIERS_EXHAUSTED
ED_n080_042_a25_124,ED,80,0.25,1,1,1305.0,1319,1.061410159211524,1,302.68360470000334,302.683625499998,STALL→tier0→1 d_max=6
ED_n080_042_a25_124,ED,80,0.25,2,2,1305.0,1319,1.061410159211524,1,300.053441,602.7370970000011,STALL→tier1→2 d_max=9
ED_n080_042_a25_124,ED,80,0.25,3,3,1305.0,1319,1.061410159211524,1,300.58969160000197,903.326842800001,TIERS_EXHAUSTED
ED_n070_032_a50_095,ED,70,0.5,1,1,1867.0,1877,0.5327650506126799,1,300.67883489999804,300.6788602000015,STALL→tier0→1 d_max=10
ED_n070_032_a50_095,ED,70,0.5,2,2,1867.0,1877,0.5327650506126799,1,301.12466459999996,601.8035804000028,STALL→tier1→2 d_max=13
ED_n070_032_a50_095,ED,70,0.5,3,3,1867.0,1877,0.5327650506126799,1,300.45037570000204,902.2539905000012,TIERS_EXHAUSTED
D_n060_022_a50_065,D,60,0.5,1,1,1777.0,1793,0.8923591745677636,1,300.8041564000014,300.80418770000324,STALL→tier0→1 d_max=10
D_n060_022_a50_065,D,60,0.5,2,2,1777.0,1793,0.8923591745677636,1,300.9288277000014,601.7330440000005,STALL→tier1→2 d_max=13
D_n060_022_a50_065,D,60,0.5,3,3,1777.0,1793,0.8923591745677636,1,302.96434489999956,904.6974241999997,TIERS_EXHAUSTED
D_n070_035_a25_103,D,70,0.25,1,1,1701.0,1720,1.1046511627906976,1,301.6803249000004,301.68036439999923,STALL→tier0→1 d_max=9
D_n070_035_a25_103,D,70,0.25,2,2,1701.0,1720,1.1046511627906976,1,301.12093000000095,602.801327000001,STALL→tier1→2 d_max=12
D_n070_035_a25_103,D,70,0.25,3,3,1701.0,1720,1.1046511627906976,1,300.72669060000044,903.5280582999985,TIERS_EXHAUSTED
EC_n065_017_a50_050,EC,65,0.5,1,1,1900.0,1911,0.5756148613291471,2,300.5900748999993,300.5900995000011,STALL→tier0→1 d_max=11
EC_n065_017_a50_050,EC,65,0.5,2,2,1900.0,1911,0.5756148613291471,1,302.6003589000029,603.1904944999987,STALL→tier1→2 d_max=15
EC_n065_017_a50_050,EC,65,0.5,3,3,1900.0,1911,0.5756148613291471,2,301.1043944999983,904.2949206000012,TIERS_EXHAUSTED
ED_n065_027_a50_080,ED,65,0.5,1,1,1747.0,1767,1.1318619128466327,1,302.03217139999833,302.0321967000018,STALL→tier0→1 d_max=9
ED_n065_027_a50_080,ED,65,0.5,2,2,1747.0,1767,1.1318619128466327,1,300.4852643999984,602.5174929000023,STALL→tier1→2 d_max=12
ED_n065_027_a50_080,ED,65,0.5,3,3,1747.0,1767,1.1318619128466327,1,300.04531710000083,902.5628705000017,TIERS_EXHAUSTED
EB_n150_026_a25_076,EB,150,0.25,1,1,2550.0,2569,0.7395873880887505,2,301.6991509999971,301.69917590000114,STALL→tier0→1 d_max=12
