instance,family,n,alpha,phase,tier,obj,ub,stall_run,obj_improved,gap_pct,seeds,alns_iters,n_new_best,n_improve,n_accept_worse,d_weights,r_weights,d_weights_best,r_weights_best,d_usage,r_usage,seed_list,seed_iters,best_seed,n_best_events,first_best_s,last_best_s,lag_s,phase_rt,cumul_rt,event
EC_n070_023_a50_068,EC,70,0.5,3,3,2206.0,2217,3,0,0.49616599007668016,2,670,0,79,250,"[4.5198, 7.5148, 4.8006]","[7.5033, 7.0523, 4.4955, 4.4724]",,,"[187, 277, 205]","[216, 181, 124, 148]","[42, 123]","[500, 170]",,0,,,2.04,301.8609694999177,911.8385258999187,TIERS_EXHAUSTED
D_n055_019_a25_055,D,55,0.25,1,1,1147.0,1179,1,0,2.7141645462256148,5,2055,0,96,1280,"[3.2588, 3.4, 3.5474]","[3.7733, 3.4, 3.1833, 3.1636]",,,"[670, 695, 689]","[641, 529, 435, 449]","[42, 123, 456, 789, 1337]","[500, 500, 500, 500, 55]",,0,,,1.21,300.2351562001277,301.4468231999781,STALL→tier0→1 d_max=5
D_n055_019_a25_055,D,55,0.25,2,2,1147.0,1164,2,0,1.4604810996563573,5,2245,0,151,1353,"[6.9145, 7.8809, 6.6067]","[8.6162, 7.6912, 5.96, 6.0742]",,,"[721, 813, 710]","[783, 569, 435, 457]","[42, 123, 456, 789, 1337]","[500, 500, 500, 500, 245]",,0,,,1.15,300.00902480003424,602.608989499975,STALL→tier1→2 d_max=7
D_n055_019_a25_055,D,55,0.25,3,3,1147.0,1157,3,0,0.864304235090752,5,2330,0,154,1402,"[6.7071, 7.48, 8.1677]","[11.0166, 7.532, 3.5192, 4.3696]",,,"[726, 885, 718]","[816, 627, 447, 439]","[42, 123, 456, 789, 1337]","[500, 500, 500, 500, 330]",,0,,,1.16,300.0228340001777,903.7951615999918,TIERS_EXHAUSTED
B_n130_017_a25_049,B,130,0.25,1,1,3062.0,3089,1,0,0.8740692780835222,2,895,0,21,380,"[3.7175, 5.8653, 3.365]","[6.0699, 5.3239, 3.3241, 2.9562]",,,"[266, 353, 275]","[270, 234, 198, 192]","[42, 123]","[500, 395]",,0,,,25.22,300.8734134999104,326.0943002998829,STALL→tier0→1 d_max=16
B_n130_017_a25_049,B,130,0.25,2,2,3062.0,3074,2,0,0.3903708523096942,2,987,0,34,338,"[2.5939, 3.546, 3.1829]","[4.0448, 3.3327, 2.7502, 1.836]",,,"[252, 357, 377]","[339, 293, 168, 186]","[42, 123]","[500, 487]",,0,,,12.67,300.4893631001469,639.2547865000088,STALL→tier1→2 d_max=21
B_n130_017_a25_049,B,130,0.25,3,3,3062.0,3073,3,0,0.35795639440286364,2,960,0,53,271,"[1.4713, 3.559, 1.7095]","[3.8245, 2.315, 1.753, 1.5147]",,,"[283, 424, 252]","[314, 288, 167, 190]","[42, 123]","[500, 460]",,0,,,7.38,300.02325389999896,946.661108299857,TIERS_EXHAUSTED
EC_n075_030_a50_089,EC,75,0.5,1,1,2456.0,2482,1,0,1.04754230459307,2,678,0,66,326,"[4.8652, 7.4279, 5.1045]","[7.201, 6.7647, 3.9319, 4.9595]",,,"[181, 299, 197]","[196, 203, 144, 134]","[42, 123]","[500, 178]",,0,,,2.11,300.12307259999216,302.2327829999849,STALL→tier0→1 d_max=13
EC_n075_030_a50_089,EC,75,0.5,2,2,2456.0,2468,2,0,0.48622366288492713,2,693,0,69,296,"[4.8195, 7.5196, 5.1384]","[7.1942, 6.8171, 4.3301, 5.3029]",,,"[163, 289, 240]","[231, 173, 131, 157]","[42, 123]","[500, 193]",,0,,,2.15,302.2134243999608,606.591403399827,STALL→tier1→2 d_max=17
EC_n075_030_a50_089,EC,75,0.5,3,3,2456.0,2465,3,0,0.36511156186612576,2,670,0,65,288,"[4.2664, 7.4683, 5.3408]","[7.1455, 6.8023, 4.9062, 4.5832]",,,"[158, 288, 223]","[208, 203, 126, 132]","[42, 123]","[500, 170]",,0,,,1.7,301.2604029001668,909.5495831000153,TIERS_EXHAUSTED
B_n130_019_a25_055,B,130,0.25,1,1,3359.0,3441,1,0,2.383028189479802,3,1391,0,57,633,"[4.6995, 6.6112, 4.6549]","[7.925, 5.6912, 3.2011, 2.8585]",,,"[416, 557, 417]","[521, 383, 245, 241]","[42, 123, 456]","[500, 500, 391]",,0,,,4.47,300.06830539996736,304.53468079981394,STALL→tier0→1 d_max=14
B_n130_019_a25_055,B,130,0.25,2,2,3359.0,3413,2,0,1.5821857603281568,3,1471,0,59,549,"[3.3891, 5.3188, 3.818]","[5.2267, 5.368, 1.667, 2.0299]",,,"[453, 554, 463]","[517, 526, 209, 218]","[42, 123, 456]","[500, 500, 471]",,0,,,4.24,300.2511645001359,609.0306114999112,STALL→tier1→2 d_max=18
B_n130_019_a25_055,B,130,0.25,3,3,3359.0,3410,3,0,1.4956011730205279,3,1364,0,75,466,"[3.4773, 5.3989, 3.992]","[4.3493, 6.6314, 2.1785, 1.6518]",,,"[386, 578, 399]","[453, 490, 225, 195]","[42, 123, 456]","[500, 500, 364]",,0,,,2.69,300.1327565999236,911.8529194998555,TIERS_EXHAUSTED
B_n130_016_a25_046,B,130,0.25,1,1,2744.0,2820,1,0,2.6950354609929077,4,1507,0,84,671,"[1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0]",,,"[411, 590, 505]","[488, 465, 258, 295]","[42, 123, 456, 789]","[500, 500, 500, 7]",,0,,,23.0,300.11127179977484,323.1081332999747,STALL→tier0→1 d_max=13
B_n130_016_a25_046,B,130,0.25,2,2,2744.0,2800,2,0,2.0,4,1541,0,88,680,"[1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0]",,,"[435, 660, 445]","[499, 541, 229, 271]","[42, 123, 456, 789]","[500, 500, 500, 41]",,0,,,28.53,300.0583615999203,651.6951888001058,STALL→tier1→2 d_max=17
B_n130_016_a25_046,B,130,0.25,3,3,2744.0,2799,3,0,1.9649874955341193,4,1759,0,122,795,"[4.9607, 7.2211, 6.4087]","[7.2419, 8.4253, 3.967, 3.5455]",,,"[482, 710, 566]","[579, 643, 263, 273]","[42, 123, 456, 789]","[500, 500, 500, 259]",,0,,,17.95,300.35938279982656,970.0013772000093,TIERS_EXHAUSTED
