instance,family,n,alpha,phase,tier,obj,ub,stall_run,obj_improved,gap_pct,seeds,alns_iters,n_new_best,n_improve,n_accept_worse,d_weights,r_weights,d_weights_best,r_weights_best,d_usage,r_usage,seed_list,seed_iters,best_seed,n_best_events,first_best_s,last_best_s,lag_s,phase_rt,cumul_rt,event
ED_n075_040_a75_120,ED,75,0.75,3,3,2731.0,2740,3,0,0.3284671532846715,1,94,0,20,51,"[2.6667, 3.925, 2.6571]","[3.75, 3.4154, 2.6154, 2.5077]",,,"[32, 37, 24]","[25, 25, 19, 24]",[42],[94],,0,,,18.16,300.4037997999694,975.507219000021,TIERS_EXHAUSTED
ED_n070_032_a75_096,ED,70,0.75,1,1,2083.0,2097,1,0,0.6676204101096805,1,138,0,22,85,"[3.8433, 6.0036, 4.2694]","[5.4383, 5.848, 3.8348, 4.615]",,,"[37, 52, 48]","[30, 33, 47, 27]",[42],[138],,0,,,5.79,300.7990580999758,306.58425229997374,STALL→tier0→1 d_max=14
ED_n070_032_a75_096,ED,70,0.75,2,2,2083.0,2096,2,0,0.6202290076335878,1,143,0,30,85,"[4.1945, 6.1902, 4.515]","[5.9933, 5.9422, 4.7331, 2.0333]",,,"[40, 52, 50]","[53, 36, 31, 22]",[42],[143],,0,,,6.22,300.9854537998326,613.7940857999492,STALL→tier1→2 d_max=19
ED_n070_032_a75_096,ED,70,0.75,3,3,2083.0,2094,3,0,0.5253104106972302,1,147,0,33,83,"[3.6469, 5.9, 5.2674]","[6.1787, 5.9204, 3.6389, 2.12]",,,"[41, 46, 59]","[49, 48, 26, 23]",[42],[147],,0,,,5.7,300.593706500018,920.0884785000235,TIERS_EXHAUSTED
ED_n060_025_a50_074,ED,60,0.5,1,1,2014.0,2057,1,0,2.0904229460379193,1,315,0,33,176,"[5.2841, 7.4656, 7.0344]","[9.3509, 7.0109, 4.5631, 4.071]",,,"[84, 121, 109]","[99, 88, 50, 77]",[42],[315],,0,,,2.53,302.7700058000628,305.3023302999791,STALL→tier0→1 d_max=10
ED_n060_025_a50_074,ED,60,0.5,2,2,2014.0,2043,2,0,1.4194811551639746,1,219,0,37,108,"[4.3049, 8.0303, 5.0864]","[8.9376, 6.3013, 5.1647, 4.5329]",,,"[55, 94, 69]","[46, 56, 59, 57]",[42],[219],,0,,,2.48,300.359979899833,608.1440110998228,STALL→tier1→2 d_max=14
ED_n060_025_a50_074,ED,60,0.5,3,3,2014.0,2033,3,0,0.9345794392523363,1,245,0,32,131,"[4.8908, 7.8171, 5.5764]","[9.0074, 7.5927, 3.6018, 4.1449]",,,"[76, 96, 72]","[70, 69, 56, 49]",[42],[245],,0,,,2.78,304.236357799964,915.1588084998075,TIERS_EXHAUSTED
D_n070_032_a75_096,D,70,0.75,1,1,2098.0,2106,1,0,0.3798670465337132,1,181,0,30,109,"[4.3888, 7.8183, 6.6756]","[6.8191, 6.7272, 6.1111, 6.2013]",,,"[56, 69, 55]","[42, 58, 36, 44]",[42],[181],,0,,,5.85,316.97971699992195,322.8258420000784,STALL→tier0→1 d_max=16
D_n070_032_a75_096,D,70,0.75,2,2,2098.0,2106,2,0,0.3798670465337132,1,162,0,27,99,"[4.1685, 7.2495, 6.6495]","[7.1309, 7.6323, 4.5153, 5.0631]",,,"[47, 63, 51]","[46, 45, 31, 39]",[42],[162],,0,,,5.82,309.09504369995557,637.7359524001367,STALL→tier1→2 d_max=21
D_n070_032_a75_096,D,70,0.75,3,3,2098.0,2106,3,0,0.3798670465337132,1,136,0,31,73,"[4.1957, 5.7876, 4.2331]","[5.9234, 4.7069, 5.0, 3.9046]",,,"[39, 59, 37]","[35, 37, 28, 35]",[42],[136],,0,,,5.98,306.8804421001114,950.5927475001663,TIERS_EXHAUSTED
