instance,family,n,alpha,group_id,bks,master_obj,master_rt_s,master_cert_gap_pct,master_status,beta_obj,beta_ub,beta_gap_pct,beta_ec_gain,beta_phases,beta_stop_reason,beta_total_rt_s,beta_raw_ub,beta_num_ub_refreshes,beta_num_lag_iters,beta_no_refresh,beta_stop_at_stall,beta_lag_max_iter,beta_lag_max_time,beta_vs_master,beta_vs_bks,beta_status
B_n130_016_a25_046,B,130,0.25,016,2744.0,2744.0,311.0,1.8598,TIE,2744.0,2820,2.6950354609929077,0,1,STALL_STOP_1,323.1081332999747,2799.2509,2,600,0,3,200,60.0,0.0,0.0,TIE
B_n130_017_a25_049,B,130,0.25,017,3062.0,3061.0,462.0,0.409943,GAP,3062.0,3089,0.8740692780835222,0,1,STALL_STOP_1,326.0943002998829,3073.8712,2,600,0,3,200,60.0,1.0,0.0,TIE
B_n130_019_a25_055,B,130,0.25,019,3359.0,3359.0,401.0,1.521593,TIE,3359.0,3441,2.383028189479802,0,1,STALL_STOP_1,304.53468079981394,3410.8117,2,600,0,3,200,60.0,0.0,0.0,TIE
B_n140_021_a25_061,B,140,0.25,021,3142.0,3142.0,1258.0,1.649607,TIE,3142.0,3226,2.603843769373838,0,1,STALL_STOP_1,326.87119280011393,3195.9311,2,600,0,3,200,60.0,0.0,0.0,TIE
B_n140_023_a25_067,B,140,0.25,023,3781.0,3781.0,2103.0,0.630749,TIE,3781.0,3821,1.0468463752944255,0,1,STALL_STOP_1,316.33106709993444,3798.2270,2,600,0,3,200,60.0,0.0,0.0,TIE
C_n070_022_a50_065,C,70,0.5,022,,2052.0,698.0,1.203659,NA,2052.0,2061,0.43668122270742354,0,1,STALL_STOP_1,304.12345079984516,2060.6269,2,600,0,3,200,60.0,0.0,,NA
D_n055_019_a25_055,D,55,0.25,019,1147.0,1147.0,513.0,1.256887,TIE,1147.0,1179,2.7141645462256148,0,1,STALL_STOP_1,301.4468231999781,1157.4316,2,600,0,3,200,60.0,0.0,0.0,TIE
D_n060_022_a50_065,D,60,0.5,022,1778.0,1777.0,944.0,0.914464,GAP,1777.0,1815,2.09366391184573,0,1,STALL_STOP_1,305.4880723999813,1790.6440,2,600,0,3,200,60.0,0.0,-1.0,GAP
D_n065_030_a50_089,D,65,0.5,030,,2337.0,1399.0,0.890585,NA,2337.0,2387,2.094679514034353,0,1,STALL_STOP_1,308.9844244001433,2348.9960,2,600,0,3,200,60.0,0.0,,NA
D_n070_032_a75_096,D,70,0.75,032,,2105.0,1713.0,0.142315,NA,2098.0,2106,0.3798670465337132,0,1,STALL_STOP_1,322.8258420000784,2106.2402,1,600,0,3,200,60.0,-7.0,,NA
D_n075_039_a50_116,D,75,0.5,039,,3071.0,2795.0,0.711284,NA,3071.0,3082,0.3569110966904607,0,1,STALL_STOP_1,308.03929190011695,3082.1909,1,600,0,3,200,60.0,0.0,,NA
D_n075_040_a25_118,D,75,0.25,040,,1820.0,1581.0,1.097707,NA,1820.0,1861,2.203116603976357,0,1,STALL_STOP_1,319.35799170006067,1828.1919,2,600,0,3,200,60.0,0.0,,NA
D_n080_044_a50_131,D,80,0.5,044,,3261.0,2652.0,0.760803,NA,3252.0,3273,0.6416131989000917,0,1,STALL_STOP_1,310.38644849997945,3272.6514,2,600,0,3,200,60.0,-9.0,,NA
D_n080_045_a25_133,D,80,0.25,045,,1910.0,1564.0,1.200083,NA,1910.0,1956,2.3517382413087935,0,1,STALL_STOP_1,322.1712810001336,1923.6036,2,600,0,3,200,60.0,0.0,,NA
EB_n140_022_a50_065,EB,140,0.5,022,4503.0,4898.0,3926.0,1.75509,BEAT,4900.0,4939,0.7896335290544645,0,1,STALL_STOP_1,325.3370683998801,4925.3699,3,600,0,3,200,60.0,2.0,397.0,BEAT
EB_n150_026_a25_076,EB,150,0.25,026,2550.0,2550.0,890.0,0.747314,TIE,2550.0,2590,1.5444015444015444,0,1,STALL_STOP_1,329.4904147000052,2560.7120,2,600,0,3,200,60.0,0.0,0.0,TIE
EB_n150_027_a25_079,EB,150,0.25,027,,2770.0,990.0,1.060828,NA,2771.0,2817,1.632942847000355,0,1,STALL_STOP_1,327.8609048000071,2792.1164,2,600,0,3,200,60.0,1.0,,NA
EC_n070_023_a50_068,EC,70,0.5,023,2206.0,2206.0,532.0,0.545512,TIE,2206.0,2235,1.2975391498881432,0,1,STALL_STOP_1,303.7240383999888,2217.3209,2,600,0,3,200,60.0,0.0,0.0,TIE
