instance,family,n,alpha,group_id,bks,master_obj,master_rt_s,master_cert_gap_pct,master_status,beta_obj,beta_ub,beta_gap_pct,beta_ec_gain,beta_phases,beta_stop_reason,beta_total_rt_s,beta_raw_ub,beta_num_ub_refreshes,beta_num_lag_iters,beta_no_refresh,beta_stop_at_stall,beta_lag_max_iter,beta_lag_max_time,beta_vs_master,beta_vs_bks,beta_status
EC_n075_030_a50_089,EC,75,0.5,030,,2456.0,412.0,0.437814,NA,2456.0,2482,1.04754230459307,0,1,STALL_STOP_1,302.2327829999849,2465.4618,2,600,0,3,200,60.0,0.0,,NA
EC_n080_033_a25_097,EC,80,0.25,033,,1806.0,773.0,0.430036,NA,1806.0,1822,0.8781558726673985,0,1,STALL_STOP_1,304.9094279999845,1812.5036,2,600,0,3,200,60.0,0.0,,NA
ED_n050_014_a50_041,ED,50,0.5,014,1787.0,1787.0,767.0,1.139633,TIE,1787.0,1799,0.6670372429127293,0,1,STALL_STOP_1,301.25519539997913,1797.6412,2,600,0,3,200,60.0,0.0,0.0,TIE
ED_n055_019_a50_056,ED,55,0.5,019,1897.0,1897.0,1104.0,0.877835,TIE,1897.0,1908,0.5765199161425576,0,1,STALL_STOP_1,301.9926931001246,1907.3690,2,600,0,3,200,60.0,0.0,0.0,TIE
ED_n060_022_a50_065,ED,60,0.5,022,1728.0,1737.0,775.0,1.764506,BEAT,1737.0,1770,1.864406779661017,0,1,STALL_STOP_1,303.55495849996805,1766.6233,2,600,0,3,200,60.0,0.0,9.0,BEAT
ED_n060_025_a50_074,ED,60,0.5,025,2014.0,2014.0,1900.0,1.40983,TIE,2014.0,2057,2.0904229460379193,0,1,STALL_STOP_1,305.3023302999791,2033.7361,2,600,0,3,200,60.0,0.0,0.0,TIE
ED_n065_027_a75_081,ED,65,0.75,027,1972.0,1972.0,718.0,0.714933,TIE,1972.0,1983,0.5547150781643975,0,1,STALL_STOP_1,302.8875344998669,1982.9815,2,600,0,3,200,60.0,0.0,0.0,TIE
ED_n065_030_a25_088,ED,65,0.25,030,,1478.0,1018.0,1.117281,NA,1478.0,1509,2.054340622929092,0,1,STALL_STOP_1,306.73467630008236,1489.5799,2,600,0,3,200,60.0,0.0,,NA
ED_n070_032_a75_096,ED,70,0.75,032,,2083.0,2033.0,0.941602,NA,2083.0,2097,0.6676204101096805,0,1,STALL_STOP_1,306.58425229997374,2094.8742,3,600,0,3,200,60.0,0.0,,NA
ED_n075_040_a25_118,ED,75,0.25,040,,1588.0,1207.0,0.929565,NA,1588.0,1615,1.671826625386997,0,1,STALL_STOP_1,313.7493114999961,1597.3100,2,600,0,3,200,60.0,0.0,,NA
ED_n075_040_a75_120,ED,75,0.75,040,,2730.0,2649.0,0.745319,NA,2731.0,2741,0.36483035388544327,0,1,STALL_STOP_1,324.0460965000093,2740.4875,2,600,0,3,200,60.0,1.0,,NA
ED_n080_045_a75_135,ED,80,0.75,045,,2932.0,2703.0,0.704416,NA,2933.0,2943,0.33978933061501865,0,1,STALL_STOP_1,320.1993764999788,2942.7119,2,600,0,3,200,60.0,1.0,,NA
