instance,family,n,alpha,group_id,bks,master_obj,master_rt_s,master_cert_gap_pct,master_status,beta_obj,beta_ub,beta_gap_pct,beta_ec_gain,beta_phases,beta_stop_reason,beta_total_rt_s,beta_raw_ub,beta_num_ub_refreshes,beta_num_lag_iters,beta_no_refresh,beta_vs_master,beta_vs_bks,beta_status
D_n075_036_a25_106,D,75,0.25,036,,1378.0,1084.0,0.941701,NA,1378.0,1383,0.3615,0,3,TIERS_EXHAUSTED,995.5,1383.1231,2,600,0,0.0,,NA
ED_n065_030_a25_088,ED,65,0.25,030,,1478.0,1018.0,1.117281,NA,1478.0,1488,0.6720,0,3,TIERS_EXHAUSTED,980.1,1488.6260,2,600,0,0.0,,NA
EB_n140_022_a25_064,EB,140,0.25,022,2767.0,2766.0,1027.0,1.01986,GAP,2767.0,2787,0.7176,0,3,TIERS_EXHAUSTED,1082.2,2787.5371,2,523,0,1.0,0.0,TIE
ED_n070_032_a50_095,ED,70,0.5,032,,1866.0,956.0,0.623103,NA,1867.0,1877,0.5328,0,3,TIERS_EXHAUSTED,979.4,1877.0579,2,600,0,1.0,,NA
EB_n150_027_a25_079,EB,150,0.25,027,,2770.0,990.0,1.060828,NA,2771.0,2795,0.8587,0,3,TIERS_EXHAUSTED,1084.5,2795.8671,2,507,0,1.0,,NA
ED_n080_042_a25_124,ED,80,0.25,042,,1305.0,990.0,1.128873,NA,1305.0,1313,0.6093,0,3,TIERS_EXHAUSTED,1093.6,1313.6374,2,529,0,0.0,,NA
D_n060_022_a50_065,D,60,0.5,022,1778.0,1777.0,944.0,0.914464,GAP,1777.0,1790,0.7263,0,3,TIERS_EXHAUSTED,948.8,1790.4038,2,600,0,0.0,-1.0,GAP
EC_n065_017_a50_050,EC,65,0.5,017,1900.0,1900.0,898.0,0.596421,TIE,1900.0,1909,0.4715,0,3,TIERS_EXHAUSTED,917.4,1909.1761,1,600,0,0.0,0.0,TIE
D_n070_035_a25_103,D,70,0.25,035,,1701.0,944.0,1.116149,NA,1701.0,1708,0.4098,0,3,TIERS_EXHAUSTED,1005.8,1708.7555,2,600,0,0.0,,NA
ED_n065_027_a50_080,ED,65,0.5,027,1747.0,1747.0,898.0,1.154238,TIE,1747.0,1766,1.0759,0,3,TIERS_EXHAUSTED,951.3,1766.8443,2,600,0,0.0,0.0,TIE
ED_n075_037_a25_109,ED,75,0.25,037,,1273.0,794.0,0.933852,NA,1273.0,1282,0.7020,0,3,TIERS_EXHAUSTED,995.0,1282.5607,2,600,0,0.0,,NA
EB_n150_026_a25_076,EB,150,0.25,026,2550.0,2550.0,890.0,0.747314,TIE,2550.0,2565,0.5848,0,3,TIERS_EXHAUSTED,1084.3,2565.2579,2,475,0,0.0,0.0,TIE
