instance,family,obj,published_ub,published_gap_pct,lb2_floor,min_ub,new_gap_pct
D_n060_022_a50_065,D,1777.0,1790.0,0.7263,1958,1790.0,0.7262569832402235
D_n060_022_a75_066,D,1956.0,1956.0,0.0,1959,1956.0,0.0
D_n060_023_a25_067,D,1263.0,1265.0,0.1581,1731,1265.0,0.15810276679841898
D_n060_023_a50_068,D,1767.0,1771.0,0.2259,2018,1771.0,0.2258610954263128
D_n060_023_a75_069,D,2015.0,2018.0,0.1487,2040,2018.0,0.14866204162537167
D_n060_024_a25_070,D,1583.0,1584.0,0.0631,2260,1584.0,0.06313131313131314
D_n060_024_a50_071,D,2249.0,2249.0,0.0,2389,2249.0,0.0
D_n060_024_a75_072,D,2387.0,2387.0,0.0,2391,2387.0,0.0
D_n060_025_a25_073,D,1559.0,1563.0,0.2559,2038,1563.0,0.2559181062060141
D_n060_025_a50_074,D,2114.0,2114.0,0.0,2291,2114.0,0.0
D_n060_025_a75_075,D,2269.0,2269.0,0.0,2292,2269.0,0.0
D_n065_026_a25_076,D,1185.0,1186.0,0.0843,1754,1186.0,0.08431703204047217
D_n065_026_a50_077,D,1848.0,1848.0,0.0,1906,1848.0,0.0
D_n065_026_a75_078,D,1902.0,1902.0,0.0,1919,1902.0,0.0
D_n065_027_a25_079,D,1094.0,1096.0,0.1825,1710,1096.0,0.18248175182481752
D_n065_027_a50_080,D,1788.0,1801.0,0.7218,1990,1801.0,0.7218212104386451
D_n065_027_a75_081,D,1984.0,1985.0,0.0504,1991,1985.0,0.05037783375314861
D_n065_028_a25_082,D,1383.0,1388.0,0.3602,1974,1388.0,0.36023054755043227
D_n065_028_a50_083,D,1970.0,1971.0,0.0507,2142,1971.0,0.050735667174023336
D_n065_028_a75_084,D,2146.0,2146.0,0.0,2153,2146.0,0.0
D_n065_029_a25_085,D,1663.0,1668.0,0.2998,2452,1668.0,0.2997601918465228
D_n065_029_a50_086,D,2449.0,2450.0,0.0408,2601,2450.0,0.04081632653061225
D_n065_029_a75_087,D,2598.0,2598.0,0.0,2603,2598.0,0.0
D_n065_030_a25_088,D,1698.0,1707.0,0.5272,2247,1707.0,0.5272407732864675
D_n065_030_a50_089,D,2337.0,2350.0,0.5532,2512,2350.0,0.5531914893617021
D_n065_030_a75_090,D,2507.0,2507.0,0.0,2513,2507.0,0.0
D_n070_031_a25_091,D,1276.0,1276.0,0.0,1855,1276.0,0.0
D_n070_031_a50_092,D,1870.0,1872.0,0.1068,1938,1872.0,0.10683760683760685
D_n070_031_a75_093,D,1932.0,1934.0,0.1034,1951,1934.0,0.1034126163391934
D_n070_032_a25_094,D,1196.0,1202.0,0.4992,1822,1202.0,0.49916805324459235
D_n070_032_a50_095,D,1908.0,1919.0,0.5732,2112,1919.0,0.5732152162584679
D_n070_032_a75_096,D,2098.0,2106.0,0.3799,2113,2106.0,0.3798670465337132
D_n070_033_a25_097,D,1615.0,1618.0,0.1854,2206,1618.0,0.1854140914709518
D_n070_033_a50_098,D,2301.0,2301.0,0.0,2362,2301.0,0.0
D_n070_033_a75_099,D,2351.0,2351.0,0.0,2365,2351.0,0.0
D_n070_034_a25_100,D,1845.0,1845.0,0.0,2552,1845.0,0.0
D_n070_034_a50_101,D,2738.0,2739.0,0.0365,2912,2739.0,0.03650967506389193
D_n070_034_a75_102,D,2907.0,2909.0,0.0688,2914,2909.0,0.06875214850464077
D_n070_035_a25_103,D,1701.0,1708.0,0.4098,2260,1708.0,0.4098360655737705
D_n070_035_a50_104,D,2350.0,2368.0,0.7601,2535,2368.0,0.7601351351351352
D_n070_035_a75_105,D,2529.0,2529.0,0.0,2536,2529.0,0.0
D_n075_036_a25_106,D,1378.0,1383.0,0.3615,2069,1383.0,0.3615328994938539
D_n075_036_a50_107,D,2101.0,2102.0,0.0476,2150,2102.0,0.04757373929590866
D_n075_036_a75_108,D,2145.0,2147.0,0.0932,2163,2147.0,0.09315323707498836
D_n075_037_a25_109,D,1515.0,1516.0,0.066,2054,1516.0,0.06596306068601583
D_n075_037_a50_110,D,2229.0,2230.0,0.0448,2333,2230.0,0.04484304932735426
D_n075_037_a75_111,D,2337.0,2338.0,0.0428,2343,2338.0,0.0427715996578272
D_n075_038_a25_112,D,1815.0,1818.0,0.165,2428,1818.0,0.16501650165016502
D_n075_038_a50_113,D,2522.0,2522.0,0.0,2585,2522.0,0.0
D_n075_038_a75_114,D,2579.0,2579.0,0.0,2586,2579.0,0.0
D_n075_039_a25_115,D,2266.0,2268.0,0.0882,2987,2268.0,0.08818342151675485
D_n075_039_a50_116,D,3071.0,3082.0,0.3569,3117,3082.0,0.3569110966904607
D_n075_039_a75_117,D,3114.0,3114.0,0.0,3117,3114.0,0.0
D_n075_040_a25_118,D,1820.0,1828.0,0.4376,2480,1828.0,0.437636761487965
D_n075_040_a50_119,D,2568.0,2585.0,0.6576,2756,2585.0,0.6576402321083172
D_n075_040_a75_120,D,2749.0,2750.0,0.0364,2757,2750.0,0.03636363636363636
D_n080_041_a25_121,D,1725.0,1727.0,0.1158,2216,1727.0,0.11580775911986102
D_n080_041_a50_122,D,2229.0,2235.0,0.2685,2284,2235.0,0.2684563758389262
D_n080_041_a75_123,D,2270.0,2271.0,0.044,2285,2271.0,0.044033465433729636
D_n080_042_a25_124,D,1537.0,1547.0,0.6464,2177,1547.0,0.6464124111182934
D_n080_042_a50_125,D,2378.0,2381.0,0.126,2474,2381.0,0.125997480050399
D_n080_042_a75_126,D,2468.0,2469.0,0.0405,2474,2469.0,0.04050222762251924
D_n080_043_a25_127,D,2006.0,2008.0,0.0996,2649,2008.0,0.099601593625498
