instance,family,n,vars,cons,cplex_obj,cplex_bound,cplex_gap_pct,proven_optimal,status,solve_s,alns_z,lag_ub,bound_looseness_pct,primal_subopt_pct,cert_gap_pct
D_n040_001_a25_001,D,40,1283,1574,715.0,737.0000000000005,3.07692307692271,0,time limit exceeded,30.0,715.0,715.0,,,0.0
D_n040_001_a50_002,D,40,1283,1574,968.0,992.0000000000007,2.4793388429750207,0,time limit exceeded,30.0,970.0,970.0,,,0.0
